Risque;Causes;Libellé;Porteur;Email porteur;Date début;Date fin;Avancement du plan d'action;Statut du plan d'action;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Probabilité;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité;Maturité
Risque de fraude;partage de compte dû à une insuffisance des licences utilisateur;"S'assurer que le nombre de licences couvre bien les besoins par rapport à la population cible - Verrouiller avec DSI l'acquisition de licences en nombre suffisant
Verrouiller la traçabilité des logs";Abdoulaye Seye;;;30/05/2018;L'estimation du nombre de licences nécessaire a été effectuée par DSC/DIS. C'est sur cette base que DSI a budgétisé l'achat des licences avec une prévision de +5% chaque année;Non échu;;;;4;2;2;1;2;;;;1
Risque de fraude;dysfonctionnement des interfaces entre les différentes applications après la mise en production;Dérouler les tests de bon fonctionnement pour s'assurer que les interfaces sont bien connectées et fonctionnelles;Abdoulaye Seye;;;30/05/2018;attente affectiation RH pour la prise en charge de l'interfaçage;Non échu;;;;4;2;2;1;2;;;;1
Risque de non fiabilité de la facturation;Indisponibilité du SI après migration;"Verrouiller avec les fournisseurs les SLA sur lesquels ils s'engagent: taux de disponibilité, taux d'erreur, etc

Définir le mode de migration : en one shot ou en différentes étapes
Définir un dry run et le mode de roll back";Abdoulaye Seye;;;30/05/2018;"la migration sera testée en plusieurs fois avant la mise en prod

mode de migration non encore défini dans la stratégie

Migration initiée une fois le chantier qualité des données est bouclé (100%)

contrat d'interface avec le fournisseur

mise en place d'une base de données intermédiaires avec des scripts de vérification";Non échu;;;;1;2;2;1;3;1;3;;3
Risque de non fiabilité de la facturation;dysfonctionnement des interfaces entre les différentes applications après la mise en production;Dérouler les tests de bon fonctionnement pour s'assurer que les interfaces sont bien connectées et fonctionnelles;Abdoulaye Seye;;;30/05/2018;attente affectiation RH pour la prise en charge de l'interfaçage;Non échu;;;;4;2;2;1;3;1;3;;1
Risque d'outil métier inadapté;module fidélisation non embarqué;Effectuer la demande d'activation du module fidélisation qui vient en natif dans le SI;Abdoulaye Seye;;;30/05/2018;prévision d'iinterfaçage avec la partie fidélisation du CRM;Non échu;;;;2;2;2;;2;;2;;2
Risque d'outil métier inadapté;Absence de formation des parties prenantes (commerciaux, support technique, etc);"Définir un plan de formation des utilisateurs
Dérouler le skill center prévu pour toutes les filiales";Abdoulaye Seye;;;30/05/2018;formation des formateurs en fonction de l'évolution du plan de déploiement;Non échu;;;;1;2;2;;2;;2;;3
Risque de livraison de services non fonctionnels;Absence de transfert de compétences entre les fournisseurs et l'équipe de SA;"Inclure dans le contrat la remise de la documentation complète comme condition à respecter par le fournisseur lors de la recette

Bencher au niveau de DRH les formulaires qui pourront être utilisées pour évaluer les compétences transférées";Abdoulaye Seye;;;30/05/2018;"équipe mutualisée - co construction avec le fournisseur
transfert de compétences en direct

Mettre en place une matrice de compétences pour s'assurer que les profils formés sont bons et que les compétences à acquérir le sont

Définir avant chaque phase les documents attendus et s'assurer à la fin de chaque phase qu'elles sont disponibles";Non échu;;;;1;2;2;2;2;1;2;;3
Risque de livraison de services non fonctionnels;perte de données due à une capacité insuffisante des serveurs pour le stockage des données;Verrouiller les capacités des serveurs vs les prévisions faites (notamment au niveau du datacenter) ;Abdoulaye Seye;;;30/05/2018;"Réservation des capacités à verrouiller avec le datacenter
évaluation du volume de stockage au cours du projet
mise en place d'un système d'alertes sur l'évolution du stcokage

Exigence pour le passage du CPMEP de donner des garanties sur le dimensionnement
Prévisions de dimensionnement faites par le fournisseur en se basant sur le flux prévu et son expérience - achat des serveurs sur cette base
une fois l'utilisation lancée, le dimensionnement sera réajusté
dossier d'architecture à faire valider: deux architectures proposées";Non échu;;;;2;2;2;2;2;1;2;;2
Risque d'audit;Absence de traçabilité des logs - applications non embarquées dans arcsight;"Verrouiller avec les fournisseurs que les applis intègrent bien la traçabilité des logs

Verrouiller avec DSI la programmation de l'intégration de l'appli CRM dans Arcsight avant l'entrée en production du projet";Abdoulaye Seye;;;30/05/2018;vérification des  points sécurité (profils et mode d'accès + traçabilité logs) par le chantier IT ;Non échu;;;;2;1;1;1;1;;;;2
Risque d'indisponibilité du service;absence de back up des serveurs hébergeant les différentes applications;Définir l'architecture de back up;Abdoulaye Seye;;;30/05/2018;architecture en cours de validation;en cours;;;;2;1;2;1;1;;1;;2
Risque d'indisponibilité du service;absence de DRP;Définir le DRP;Abdoulaye Seye;;;30/05/2018;architecture en cours de validation;en cours;;;;3;1;2;1;1;;1;;1
Risque de livraison de services non fonctionnels;absence de réconciliation entre les données d'entrée recueillies dans les différentes applications et celles de sortie;Définir des scripts qui vont permettre de procéder à une réconciliation;Abdoulaye Seye;;;30/05/2018;;en cours;;;;2;2;2;2;2;1;2;;2
Risque de manque de fiabilité des données clients;"fonctionnalité ""fusion"" des données non automatisée";Embarquer l'automatisation de la fusion dans les ateliers et s'assurer qu'il sera pris en compte;Abdoulaye Seye;;;30/05/2018;"Définition de critères nécessaires à une fusion manuelle qui sera effectuée par le BO
Possibilité de faire des fusions automatiques ou manuelles à revérifier avec le fournisseur HLI";en cours;;;;1;2;2;1;2;;2;;3
Risque de manque de fiabilité des données clients;Données des SI souches non fiables (Gaïa, Nessico, Tango, etc);"Finaliser la fiabilisation des données clients dans les SI
Définir les conditions d'acceptabilité des infos client qui devront être saisies";Abdoulaye Seye;;;30/05/2018;"contrôles ante et post migration par le chantier qualité de données 
fiabilisation ok pour Gaïa et Simplissimo
nessico: 40% de fiab";en cours;;;;2;2;2;1;2;;2;;2
Risque de lancement tardif d'offres/projets;retard sur la finalisation de la fiabilisation des données client dans les SI de SA (Nessico, Tango et Gaïa, etc) et des autres filiales;Verrouiller les engagements sur la finalisation de la campagne de fiabilisation;Abdoulaye Seye;;;30/05/2018;;en cours;;;;2;1;1;;1;;;;2
Risque de dégradation de la qualité de service;Absence de mise en oeuvre de la chaîne de support;Définir l'organisation et le mode de mise en œuvre de la chaîne de support et le contractualiser;Abdoulaye Seye;;;30/05/2018;"chaîne de support avec le fournisseur déjà contractualisée 

chaîne de support  interne + matrice d'escalade à faire pour le T1";Non échu;;;;2;1;1;;1;1;;;2
Risque de dégradation de la qualité de service;non respect de la chaîne de support et des SLA engagés par les fournisseurs;Verrouiller dans le contrat les modalités autour du respect des SLA et de la chaîne de support par le fournisseur;Abdoulaye Seye;;;30/05/2018;;Non échu;;;;2;1;1;;1;1;;;2
