Site;Domaine activité;Activité/Equipement;Type;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement du plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Immeuble SABLUX;climatiseur;Climatiseur;2;;Bruit des climatiseurs;N;Risque de nuisance sonore;Poste de travail;Inconfort;Existence d'un outil de signalisation des dysfonctionnements à la DAL ( GEDAL) suivi de la prise en charge par le chef d'établissement;Préventif;Manuelle;;;;;;;1;1;1;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Risque de nuisance sonore;Poste de travail;Inconfort;maintenance régulière du GE par le prestataire;Préventif;Manuelle;;;;;;;1;1;1;2
Immeuble SABLUX;Commercial;Commercial;1;;Agression téléphonique;A;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;un message de sensibilisation a été diffusé sur la gestion de stress  une politique sur le stress à été rédigée et elle est en cours de signature                                        les RHBP et les affaires sociales ont pour role la prise en charge des;Préventif;Manuelle;;;;;;;2;3;6;2
Immeuble SABLUX;Commercial;Commercial;1;;Surcharge de travail;A;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;un message de sensibilisation a été diffusé sur la gestion de stress  une politique sur le stress à été rédigée et elle est en cours de signature                                        les RHBP et les affaires sociales ont pour role la prise en charge des;Préventif;Manuelle;;;;;;;2;3;6;2
Immeuble SABLUX;Commercial;Commercial;1;;Usage permanent du telephone (centre d'appel recouvrement, et SMC de DSI);N;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;Formation sur la gestion de stres déroulée par la DRH;Préventif;Manuelle;;;;;;;3;3;9;2
Immeuble SABLUX;Commercial;Commercial;1;;Inquiétude (règlement de problèmes et gestion des sensibilités);A;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;Formation sur la gestion de stress déroulée par la DRH;Préventif;Manuelle;;;;;;;2;3;6;2
Immeuble SABLUX;climatiseur;Climatiseur;2;;Mauvaise position du split;A;Risque de troubles musculo squelettiques;Poste de travail;Arthroses;Déplacement  possible des positions de travail avec le soutien de DAL;Préventif;Manuelle;;;;;;;2;2;4;3
Immeuble SABLUX;Fauteuil;Fauteuil;2;;Mauvaise position de l'agent;A;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;communication par la médecine d'entreprise sur intracom sur les comportements permettant d'éviter les troubles musculo squelettiques;Préventif;Manuelle;;;;;;;2;2;4;2
Immeuble SABLUX;véhicules;Véhicules;2;;Déplacements fréquents en véhicule.;N;Risque de troubles musculo squelettiques;Poste de travail;Dorsolombalgie;Messages mis en ligne dans intracom par le CHSSTCommunication sur intracom sur les troubles musculo squelettiques au volant;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;climatiseur;Climatiseur;2;;Entretien des climatiseurs aux heures de travail (poussières et humidité);A;Risque de troubles respiratoires;Poste de travail;Allergies, troubles respiratoires (asthme);demande faite  au prestataire de programmer les travaux de  nettoyage des filtres en HNO;Préventif;Manuelle;;;;;;;2;2;4;3
Immeuble SABLUX;Intervention;archivage;1;;Utilisation papier (odeur, poussière, …);N;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;sensibilisation faite vers le fournisseurs lors des séminaires QSEfaire un choix conséquent du prestataire fournissant le papier à Sonatel;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Travaux de nettoiement aux heures de travail ;A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Les locaux sont aéréa lors du nettoiementsSensibiliser les RH sur leur présence hors du bureau durant le nettoyage;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;Bâtiment;;2;;Humidité de la climatisation;A;Risque de troubles respiratoires;Poste de travail;Allergies;maintenance régulière des climatiseurs par le prestataire ;Préventif;Manuelle;;;;;;;1;2;2;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Porte du local  électrique (arrivé genérale)  non fermée;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;;Préventif;Manuelle;Faire effectuer un survey  par DAL pour restreindre l'acces;amadou.cisse@orange-sonatel.com;;30/04/2018;;non fait;3;4;12;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Cohabitation avec du papier (factures);A;Risque biologique;Environnement immédiat;Allergies, mycoses, champignons;;Préventif;Manuelle;Faire effectuer un survey  par DAL pour amanger un local d'archive (recouvrement);CheikhTidiane_DIOP@orange-sonatel.com;;31/05/2018;;non fait;1;1;1;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Cohabitation avec armoire réseau et onduleur;A;Risque de troubles respiratoires;Poste de travail;Allergies;;Préventif;Manuelle;etudier la possibilité de déplacer les équipements réseaux situés  dans la cuisine du 1er etage;moustapha.sylla@orange-sonatel.com;;30/04/2018;;non fait;2;2;4;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Goulotte pour passage des câbles non fermée;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Dispositif de signalisation GEDAL;Préventif;Manuelle;;;;;;;2;3;6;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Court circuit/incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;;;;Installer des détecteurs d'incendie;latsouck.diouf@orange-sonatel.com;;31/12/2018;;Non échu;3;4;12;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;poubeles utilisées sans sacs;A;Risque biologique;Environnement immédiat;Allergies, mycoses, champignons;aire de déchets équipée de bennes installées au rez de chaussée;Préventif;Manuelle;Demander au prestataire de d'utiliser des sac poubelles pour les dechets;moustapha.sylla@orange-sonatel.com;;31/04/2018;;Non échu;3;2;6;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Locaux surchargés de papiers;A;Risque d'incendie;Environnement immédiat;Brûlures;aire de déchets équipée de bennes installées au rez de chaussée;Préventif;Manuelle;Installer des détecteurs d'incendie;latsouck.diouf@orange-sonatel.com;;31/12/2018;;Non échu;2;4;8;2
Immeuble SABLUX;Gestion de l'établissement;Gestion de l'établissement;1;;Absence de formation sur utilisation des extincteurs d'incendie;A;Risque d'incendie;Poste de travail;Brûlures;Formation dispensée par DG/SECU;Préventif;Manuelle;;;;;;;1;4;4;3
Immeuble SABLUX;Gestion de l'établissement;Gestion de l'établissement;1;;planning de maintenance des extincteurs non respectée;A;Risque d'incendie;Poste de travail;Brûlures;une partie des extincteurs installées sur le site est neuve;Préventif;Manuelle;organiser avec DG/SECU la maintenance des extinteurs du site SABLUX;latsouck.diouf@orange-sonatel.com;;31/04/2018;;Non échu;2;3;6;3
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Mauvais état des routes;N;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);"Les mesures se font sur les principales axes des capitales régionales ou départementales.
Choix de chauffeurs expérimentés. 
prise en compte de l'état des routes (en fonction localité) pour renouvellement des pneus";Préventif;;;;;;;;3;2;6;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Mauvais état des routes;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);"Les mesures se font sur les principales axes des capitales régionales ou départementales.
Choix de chauffeurs expérimentés. 
prise en compte de l'état des routes (en fonction localité) pour renouvellement des pneus";Préventif;;"
Sensibilistation sur la sécurité routière et sur les règles de conduite";mouhamadou.thiombane@orange-sonatel.com;;31/12/2018;;Non échu;3;3;9;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Mauvais état des véhicules;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);"Dérogation budgétaire pour un renouvellement des véhicules tous les 3 ans
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ne pouvant pas permettre leur utilisation";correctif;;;;;;;;2;2;4;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Conduite imprudente (sans port de ceinture, non respect limitation vitesse, conduite la nuit etc…);A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);" - Choix de chauffeurs expérimentés. 
 - Respect du code de bonne conduite
 note de rappel sur les regles de prudence en matière de conduite
Organisation des sensibilisations régulières sur les règles de bonne conduite routière lors des";Préventif;;"
Sensibilistation sur la sécurité routière et sur les règles de conduite";mouhamadou.thiombane@orange-sonatel.com;;31/12/2018;;Non échu;2;3;6;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Mauvais état des véhicules;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);"Dérogation budgétaire pour un renouvellement des véhicules tous les 3 ans
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ne pouvant pas permettre leur utilisation";correctif;;;;;;;;2;3;6;
;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Déplacements réguliers sur de longues distances;N;Risque de troubles musculo squelettiques;;Douleurs dorsales (colonne vertébrale);"respect de la consigne de pause toutes les 2h 
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ne pouvant pas permettre leur utilisation";Préventif;Manuelle;;;;;;;4;2;8;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Déplacements réguliers sur de longues distances;N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);"respect de la consigne de pause toutes les 2h 
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ne pouvant pas permettre leur utilisation";correctif;;;;;;;;3;3;9;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Insécurité des zones visitées ;N;Risque d'agression physique;Poste de travail;Traumatisme;"Les mesures se font sur les principales axes des capitales régionales ou départementales.
Les vitres des véhicules sont teintées pour éviter d'exposer le materiel (telephones et tablettes)
interventions en équipe (chauffeur +  agent technique)
Note de sensibilisation sur la conduite et sur les consignes de sécurité.";Préventif;;;;;;;;1;3;3;
Immeuble SABLUX;Technique/Evaluation de la Qos vue du client;Véhicules;2;;Position assise constante;N;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);"respect de la consigne de pause toutes les 2h 
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ne pouvant pas permettre leur utilisation";Préventif;Manuelle;;;;;;;4;2;8;
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Acces irréguliers  au site.;A;Risque d'agression physique;Environnement immédiat;Traumatisme, stress;sensibilisation des vigiles sur l'interdiction d'accès des personnes étrangères au site à l'arrière courPose signalétique des conditions d'accès;Préventif;Manuelle;;;;;;;2;4;8;2
