Site;Domaine;Activité/Equipement;Type activité ou equipement;Propriètaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Email du porteur;Date début;Date fin;Avancement plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Darou mousty;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Darou mousty;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Darou mousty;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Datacenter;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Datacenter;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Diourbel;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Diourbel;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Diourbel;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Gandoul;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Gandoul;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Gandoul;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Grand-Dakar;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Grand-Dakar;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Grand-Dakar;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Guediawaye;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Guediawaye;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Guediawaye;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kaffrine;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kaffrine;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kaffrine;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kaolack E10;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kaolack E10;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kaolack E10;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kaolack FH;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kaolack FH;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kaolack FH;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kebemer;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kebemer;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kebemer;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kebemer FH;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kebemer FH;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kebemer FH;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kedougou CI;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kedougou CI;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kedougou CI;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Kolda FH ;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Kolda FH ;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Kolda FH ;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Linguere;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Linguere;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Linguere;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Louga CI;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Louga CI;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Louga CI;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Louga FH;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Louga FH;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Louga FH;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Matam CI;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Matam CI;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Matam CI;Intervention;Salle Batterie;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Mbour FH;Intervention;Salle Batterie;2;; Rejet hydrogène et d'acides dans l'atmosphère;Normal;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Mbour FH;Intervention;Salle Batterie;2;;Déversement ou Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
