SITE;Domaine d'activité;Activité/ Equipement;Type(Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut ;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Ambiance thermique froide (salles machines, travaux sur le terrain…);A;Risque d'hypothermie;Environnement immédiat;Coup de fraîcheur, engolure, rhumatisme, sécheresse de la peau, rhinite à répétition, malaise, syncope;Agents ne restent pas longtemps dans la salle technique pour les besoins d'interventionsDéménagement des agents installés dans les salles équipements;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Boitiers électriques non couverts ;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Signalisation des dysfonctionnements dans GEDAL et prise en charge des besoins exprimés par les CR par la DAL;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Risque de nuisance sonore;Poste de travail;Inconfort;Les groupes électrogènes sont capotés donc insonorisés. Repect normes CEExigence réglementaire 65db à proximité des habitations. 85db à 1m du groupe;Preventif;Manuelle;;;;;;;3;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Risque de nuisance sonore;Poste de travail;Inconfort;Les groupes électrogènes sont capotés donc insonorisés. Repect normes CEExigence réglementaire 65db à proximité des habitations. 85db à 1m du groupe;Preventif;Manuelle;;;;;;;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Colocalisation (FH): Emetteurs Radio et TV;Colocalisation (FH): Emetteurs Radio et TV;2;;Chaleur dégagée par les émetteurs ;N;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Les locaux abritant des équipements sont climatisés;Preventif;Manuelle;;;;;;;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Climatiseur;Climatiseur;2;;Climatisation défectueuse;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Contrat d'entretien et de maintenance de la climatisation avec Sahel Trading, Alvedeo;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Climatiseur;Climatiseur;2;;Climatisation défectueuse;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Contrat d'entretien et de maintenance de la climatisation avec Sahel Trading;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Conduite imprudente (sans port de ceinture, non respect limitation vitesse, conduite la nuit etc…);A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Formation et sensibilisation sur la sécurité routière et sur les règles de conduite par DG/SECUConduite autorisée des véhicules par le personnel habilité;Preventif;Manuelle;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Court circuit/incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;Maintenance préventive et curative des installations électriques par des prestataires;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Court circuit/incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;Maintenance préventive et curative des installations électriques par des prestataires;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Déchets (huiles, filtres);N;Risque biologique;Environnement immédiat;Allergies, troubles respiratoires (asthme); - Les contrats avec les prestataires exigent l'enlèvement des dechets. - Sensibilisation des prestataires qui entretiennent les GE pour l'enlèvement systématique des huiles et filtres après les travaux d'entretien;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Déplacement du personnel en pleine nuit ;A;Risque d'agression physique;Poste de travail;Traumatisme;Instructions régissant les interventions terrain des équipes techniques;Preventif;Manuelle;;;;;;;2;4;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Déplacements réguliers sur de longues distances;N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Sensibilisation sur la sécurité routière et sur les règles de conduiteEntretien des véhicules d'interventions;Preventif;Manuelle;;;;;;;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Dépôt de déchets;N;Risque d'incendie;Environnement immédiat;Brûlures;Les dechets sont soit récuperés par le prestataire, soit convoyé vers l'air de stockage au niveau du CIDispositif de gestion des dechets piloté par DAL/APP;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Dépôt de déchets;N;Risque d'incendie;Environnement immédiat;Brûlures;Les dechets sont soit récuperés par le prestataire, soit convoyé vers l'aire de stockage au niveau du CI;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;A;Risque d'incendie;Environnement immédiat;Brûlures;Le dépotage est pris en charge par le fournisseur. Existence d'un contratVérification par le CI du respect des dispositions contractuelles lors des livraisons de carburant par le forunisseur;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;A;Risque d'incendie;Environnement immédiat;Brûlures;Vérification par le CI du respect des dispositions contractuelles lors des livraisons de carburant par le forunisseur;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Déversement du mercure des néons cassés;A;Risque chimique;Poste de travail;Intoxication au mercure;Le prestataire est chargé de remplacer les ampoules et d'emporter les ampoules défectueuses;Preventif;Manuelle;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Déversement du mercure des néons cassés;A;Risque chimique;Poste de travail;Intoxication au mercure;Le prestataire est chargé de remplacer les ampoules et d'emporter les ampoules défectueuses;Preventif;Manuelle;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Eaux stagnantes;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Pompage des eaux ;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Echelle défectueuse (absence de patin plastique);A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…); - Procédure de réforme du matériel défectueux - Remplacement des échelles défectueuses - Adaptation des EPI en fonction des agents - Réforme périodique les EPI dégradables (ceinture, échelles……);Preventif;Manuelle;;;;;;;1;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Climatiseur;Climatiseur;2;;Ecoulement de l'eau de climatisation;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Réparation de évacuation de l'eau des climatiseur confiée à un prestataireMaintenance préventive de la climatisation;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Climatiseur;Climatiseur;2;;Ecoulement de l'eau de climatisation;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Réparation de évacuation de l'eau des climatiseur confiée à un prestataire MatforceMaintenance préventive de la climatisation;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Emanation de gaz;A;Risque de troubles respiratoires;Environnement immédiat;Anoxie, asphixie, maux de tête, allergies;Existence d'extracteurs d'air dans les locaux abritant des équipements Consigne sur l'aération des chambres avant les interventions techniques;Preventif;Manuelle;;;;;;;3;3;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Encombrement du sol par les câbles;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Procédure de gestion des déchets ( Collecte des chutes de câbles stockées dans les aires de stockage)Récupération des chutes de câbles par la DAL et organisation de la vente aux clients ciblés;Preventif;Manuelle;;;;;;;1;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Equipements de Protection Individuelle non adaptés ;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé); - Existence d'EPI mis à disposition des agents d'intervention - Renouvellement périodique des EPI ;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Escabeau;Escabeau;2;;Escabeau défectueux;A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Remplacement des escabeauX defectueux. Expression du besoin envoyée à DAL;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Etanchéité défectueuse;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Signalisation des dysfonctionnements dans GEDAL et prise en charge des besoins exprimés par les CR par la DAL;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Etanchéité défectueuse;A;Risque biologique;Poste de travail;Allergies, mycoses, champignons, intoxication au plomb;Programme annuel de travaux sur l'étancheité conduit par DAL;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Explosion;A;Risque d'incendie;Environnement immédiat;Brûlures;Consigne sur l'aération des chambres avant les interventionsSalles batteries équipées d'extracteurs d'airMaintenance préventive et curative des extracteurs d'air par des prestataires;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Exposition aux radiations des antennes, émetteurs et fibres optiques;N;Risque d'irradiation;Poste de travail;Lésions cutanées, maux de tête, lésions occulaires, chutes de cheveux…;Bonne fermeture des connecteurs, veiller à l'étancheitéLimitation de l'accès aux sites à des agents habilitésRègles de limitation des puissances en cas d'intervention Ex: blocage de l'antenne (locker) lors d'une intervention prolongée.;Preventif;Manuelle;;;;;;;4;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Extracteur d’air défectueux;A;Risque de nuisance olfactive;Environnement immédiat;troubles respiratoires,réactions allergiques,AsthmeInconfort;Signalisation des dysfonctionnements dans GEDAL pour prise en charge par la DAL pour la maintenance curativeen relation avec le prestataire Solarcom ;Preventif;Manuelle;;;;;;;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Fauteuil;Fauteuil;2;;Fauteuis défectueux ou inadaptés;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);Remplacement des fauteuils inadaptés pour raison médicale par la DAL sur demande de DRH/SHT;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Fauteuil;Fauteuil;2;;Fauteuis défectueux ou inadaptés;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);Remplacement des fauteuils inadaptés pour raison médicale par la DAL sur demande de DRH/SHT;Preventif;Manuelle;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Fauteuil;Fauteuil;2;;Fauteuis défectueux ou inadaptés;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);Remplacement des fauteuils inadaptés pour raison médicale par la DAL sur demande de DRH/SHT;Preventif;Manuelle;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Fauteuil;Fauteuil;2;;Fauteuis défectueux ou inadaptés;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);Remplacement des fauteuils inadaptés pour raison médicale par la DAL sur demande de DRH/SHT;Preventif;Manuelle;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Fuite de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Vérification du respect des dispositions contractuelles par le CI lors de la livraisosn de carburant par le fournisseur;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Fuite de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Vérification du respect des dispositions contractuelles par le CI lors de la livraisosn de carburant par le fournisseur;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Fuite de gazoil (dépotage);A;Risque chimique;Environnement immédiat;Troubles respiratoires, allergies, brûlures;La correction des fuites est prise en charge par les équipes ou par le sous traitantUn contrat d'entretien est signé pour les groupes (Eydon et Oryx)Maintenance préventive mensuelle ou en fontion du nombre d'heures de fonctionnement remonté au prestataire;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Groupe électrogène;Groupe électrogène;2;;Fuite de gazoil (dépotage);A;Risque chimique;Environnement immédiat;Troubles respiratoires, allergies, brûlures;La correction des fuites est prise en charge par les équipes ou par le sous traitantUn contrat d'entretien est signé pour les groupes (Eydon et Oryx)Maintenance préventive mensuelle ou en fontion du nombre d'heures de fonctionnement remonté au prestataire;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Garde corps mal fixé (cordon de sécurité);A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Formation des agents travaillant en hauteur sur la sécuritéDotation de l'outillage pour les travaux en hauteur (ceinture, echelle, harnais);Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Gêne causée par les rayons solaires;A;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;Signalisation des dysfonctionnements dans GEDAL et prise en charge des besoins exprimés par les CR par la DAL;Preventif;Manuelle;;;;;;;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Inexistence ou Blocage des issues de secours;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Prise en charge de la fonction sécurité dans l'organisation de l'entrepriseExistence de consignes de sécurité;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Infiltration d’eau de pluie  ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Refection de l'étancheité pris en chargeMaintenance de l'étancheité;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Inhalation de poussières;A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Entretien quotidien des locaux par un prestataireDotation périodique de lait aux agents des fonctions les exposant à l'inhalation de poussièresMise à disposition de masques de protection pour les travaux de maintenance des équipes techniques ;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
