Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Sédhiou;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Thiès;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Tivaouane;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Vélingara;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Ziguinchor;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Bakel FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Bambey;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Cambérène;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Centre de Stockage de Rufisque (CSR);Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Dakar RP;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Darou mousty;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Diourbel;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Gandoul;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Grand-Dakar;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Guediawaye;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Kebemer;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Kebemer FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Kolda FH ;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Linguere;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Louga CI;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Louga FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Matam CI;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Mbour FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Mbour Grand Mbour;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Médina;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Ourossogui ;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Patte d'Oie;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Podor;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Richard Toll;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Rufisque CI;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Saint -Louis CI eaux claires;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Saly;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Thiès E10;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Thies FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Tivaoune FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Tivaoune MUX;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Touba;Commercial et Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Zighinchor  FH;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Zighinchor CI;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Ziguinchor MUX;Technique;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Parcelles;Commercial;Groupes électrogènes;2;;Forte consommation d'énergie;A;Surconsommation d'énergie;Ressources naturelles;;Dépose des équipements non fonctionnels et réformes des équipements après la durée de vieMaintenance préventive des équipements (clims etc…)Utilisation de l'énergie solaire dans certains sites;Préventif;Manuelle;;;;;;;2;2;4;2
Gandoul;Exploitation;Equipements réseaux;2;;Forte consommation d'énergie;A;Surconsommation d'énergie;Ressources naturelles;; - Communication sur les gestes verts dans intracom et démarrage windows - Programme de réduction de la facture électrique de SONATEL ;Préventif;Manuelle;;;;;;;2;1;2;2
Guediawaye;Exploitation;Equipements réseaux;2;;Forte consommation d'énergie;A;Surconsommation d'énergie;Ressources naturelles;; - Communication sur les gestes verts dans intracom et démarrage windows - Programme de réduction de la facture électrique de SONATEL ;Préventif;Manuelle;;;;;;;2;1;2;2
Richard Toll;Exploitation;Equipements réseaux;2;;Forte consommation d'énergie;A;Surconsommation d'énergie;Ressources naturelles;; - Communication sur les gestes verts dans intracom et démarrage windows - Programme de réduction de la facture électrique de SONATEL ;Préventif;Manuelle;;;;;;;2;1;2;2
Saint -Louis CI eaux claires;Exploitation;Equipements réseaux;2;;Forte consommation d'énergie;A;Surconsommation d'énergie;Ressources naturelles;; - Communication sur les gestes verts dans intracom et démarrage windows - Programme de réduction de la facture électrique de SONATEL ;Préventif;Manuelle;;;;;;;2;1;2;2
Zighinchor CI;Exploitation;Equipements réseaux;2;;Forte consommation d'énergie;A;Surconsommation d'énergie;Ressources naturelles;; - Communication sur les gestes verts dans intracom et démarrage windows - Programme de réduction de la facture électrique de SONATEL ;Préventif;Manuelle;;;;;;;2;1;2;2
