SITE;Domaine d'activité;Activité/ Equipement;Type( Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Type de contrôle;Porteur;Date de debut;Date de fin;Avancement du PA;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Maintenance;1;;Défaut de balisage des chantiers;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires, polytraumatisme; - CI doté de ruban de balisage - Systèmatisation du balisage des chantiers - Vérification du balisage des chantiers par le sous traitant;Preventif;Manuelle;;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Toutes les activités;Cuves Carburant;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;A;Risque d'incendie;Environnement immédiat;Brûlures;La présence d'un agent CI permet de veiller et d'éviter le dévsersement du carburant lors des dépotage de carburantBac de rétention au niveau des GE;Preventif;Manuelle;;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technique;Batiment;2;;Eaux stagnantes;A;Risque biologique;Environnement immédiat;InfectionsAllergiesIntoxications;Mise en place d'un système pour assurer le drainage des eaux de pluie;Preventif;Manuelle;;;;;;;;2;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Maintenance;1;;Equipements de Protection Individuelle non adaptés ;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé);Fournitures d'équipements de Protection Individuelle adaptés aux agents CI;Preventif;Manuelle;;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Extracteur d'air;2;;Extracteur d’air défectueux;A;Risque chimique;Poste de travail;Intoxication, asphixie;Maintenance préventive par les agents et curative par les prestataires;Preventif;Manuelle;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Tecnico commercial;Maintenance;1;;Inhalation de poussières;N;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Périodiquement les agents d'intervention exposés aux poussières reçoivent leur dotation en lait;Preventif;Manuelle;;;;;;;;2;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Batiment ;2;;Manque d'hygiène dans les toilettes;A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Existence d'un prestataire pour l'entretien des locaux et évaluation des prestations par le personnelExistence d'un comité de surveillance au site commercial et techniqueNettoyage des toilettes 2 fois par jours;Preventif;Manuelle;;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Tecnico commercial;Déplacement;1;;Poussières;N;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Visite médicale annuelle obligatoire par la médecine d'entreprisePrise en charge des besoins médicaux des agents par l'IPMEntretien du site par un prestataire et évaluation des prestations par le personnel;Preventif;Manuelle;;;;;;;;2;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Déplacement;1;;Prolifération de moustiques (Eaux stagnante);A;Risque biologique;Environnement immédiat;Paludisme, allergie ;Entretien quotidien du site par les prestataire et mise à disposition d'insecticides au personnel;Preventif;Manuelle;;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;InterventionCommercial;Cuves Carburant;2;;Stockage de carburant (cuve du groupe électrogéne);N;Risque d'incendie;Environnement immédiat;Brûlures; - Mise en place d'affiches signalétiques de risque de danger - Nettoyage périodique de la  cuve par le prestataire;Preventif;Manuelle;;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Poste courant haute tension;2;;Alimentation avec du courant  de forte puissance ;N;Risque de court circuit;Environnement immédiat;Brulûre, intoxication; - Mise en place d'affiches,  - EPI et équipements (perche, tabouret et gants) sur site  - Existence extincteurs - Seul SENELEC intervient sur le site;Preventif;Manuelle;;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Installation électrique;1;;Boitiers électriques non couverts ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Signalisation dans GEDAL des dysfonctionnements;Preventif;Manuelle;;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;;Véhicule;2;;Conduite imprudente (sans port de ceinture, non respect limitation vitesse, conduite la nuit etc…);A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Conduite autorisée des véhicules par le personnel habilitéFormation des chauffeurs aux normes de sécurité routière;Preventif;Manuelle;;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Installation électrique;1;;Installation électrique instable ou vetuste;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Pas d'installation vétuste au niveau de l'Agence (reprise)Reprise des installations vétustes au niveau du bâtiment technique;Preventif;Manuelle;;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technique  Commercial;Batiment ;2;;Insuffisance de points lumineux (mauvais éclairage du site);A;Risque d'accident;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);;;;Remettre à niveau les points d'éclairage au niveau du site technique ;;DAL/IMMO-TR;;31/08/2016;;A vérifier;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico;Batiment;2;;Présence d'animaux ( lézards, salamandre,souris, cafards…..);A;Risque biologique;Environnement immédiat;Morsures,envenimations maladies virales;Désherbage périodique du siteUtilisation de produits désinfectants par le prestataireExistence d'EPI pour le personnel technique;Preventif;Manuelle;;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Maintenance;1;;Travail en hauteur;N;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Existence de EPISondage de poteaux par les agents avant interventionSeuls agents habilités montentEquipes en binôme pour les travaux en hauteur;Preventif;Manuelle;;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Batiments Technique et Commercial;2;;Absence d'aération des  toilettes;A;Risque de nuisance olfactive;Environnement immédiat;Inconfort;Aménagelment d'une aération des toilettes du site technique;Preventif;Manuelle;;;;;;;;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technique;Colocalisation (FH): Emetteurs Radio et TV;2;;Chaleur dégagée par les émetteurs ;N;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Les locaux abritant des équipements sont climatisés;Preventif;Manuelle;;;;;;;;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Gestion des déchets;1;;Cohabitation avec des déchets;A;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Application de la procédure gestion des déchets : Entretien quotidien des bureaux par un prestataire qui évacue les déchets;Preventif;Manuelle;;;;;;;;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Tecnico commercial;Groupe éléctrogène;2;;Coupure d’électricité ;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise, syncope;Prise en charge de l'alimentation par le GE en cas de coupure d'électricité;Preventif;Manuelle;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Groupe éléctrogène;2;;Déchets (huiles, filtres);N;Risque biologique;Environnement immédiat;Allergies;Entretien des GE par le prestataireExigence aux prestataires de ne pas laisser les déchets sur site;Preventif;Manuelle;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;climatiseur;2;;Entretien des climatiseurs aux heures de travail (poussières et humidité);A;Risque de troubles respiratoires;Poste de travail;Allergies, troubles respiratoires (asthme);Prestataire nettoie en dehors des bureaux;Preventif;Manuelle;;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Groupe éléctrogène;2;;Fumée du groupe électrogène ;N;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Pot d'échappement  en hauteurIsolation du GE;Preventif;Manuelle;;;;;;;;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Cuves Carburant;2;;Odeur du carburant lors du remplissage des cuves (Echappement de gaz);N;Risque de nuisance olfactive;Environnement immédiat;Inconfort;Fournitures d'équipements de Protection Individuelle adaptés aux agents CI;Preventif;Manuelle;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Déplacement;1;;Poussières;N;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Visite médicale annuelle obligatoire par la médecine d'entreprisePrise en charge des besoins médicaux des agents par l'IPMEntretien du site par un prestataire et évaluation des prestations par le personnel;Preventif;Manuelle;;;;;;;;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Toutes les activités;1;;Tabagisme passif (personnes fument dans les locaux) ;A;Risque biologique;Poste de travail;Troubles respiratoires; - Affiches d'interdiction de fumer au niveau CI - Sensibilisation des fumeurs sur les risques santé et d'incendieAgents ne fument pas à l'intérieur;Preventif;Manuelle;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Tecnico commercial;Nettoiement;1;;Utilisation de produits d'entretien  (acide, eau de javel, pâte à cafard, désodorisant);N;Risque biologique;Poste de travail;Allergies, intoxicaton, brûlure; - Les agents de la Société de nettoiement portent des gants - Le nettoyage ne se fait pas en présence des occupants des bureaux (agents sortent)-Les produits sont rangés et conservés dans une caisse - Nettoyage des magasins à la demande des gérantsévaluation des prestataires de nettoyage par les agents (DRH);Preventif;Manuelle;;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Batiment ;2;;Couvercle de la fosse septique défectueuse ;A;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Fermeture les fosses septiques du bâtiment FH CI;Preventif;Manuelle;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Tecnico commercial;Déplacement;1;;Poussières;N;Risque de nuisance olfactive;Environnement immédiat;troubles respiratoires,réactions allergiques,AsthmeInconfort;Dotation de lait et savon au personnelUtilisation de produits désinfectants Entretien quotidien des locaux par un prestataire;Preventif;Manuelle;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;;Batiment;2;;Ambiance thermique froide (salles machines, travaux sur le terrain…);A;Risque d'hypothermie;Environnement immédiat;Coup de fraîcheur, engolure, rhumatisme, sécheresse de la peau, rhinite à répétition, malaise, syncope;Aucun bureau dans les salles techniquesDotation de blouses et de casquettes à tous les agents;Preventif;Manuelle;;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Pylône;2;;Voisinage immédiat de l'antenne (surtout en cas de vent fort);A;Risque de chute d'objet lourd;Environnement immédiat;Traumatisme cranien, plaie ouverte;Maintenance préventive des équipements et installationsVérification annuelle par Véritas;Preventif;Manuelle;;;;;;;;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
