Site;Domaine;Activité/Equipement;Type (Activite ou equipement);Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date debut;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Datacenter;Technique;Toutes les activités;1;;Manque d'hygiène dans les toilettes ;A;Risque biologique;Environnement immédiat;Paludisme, allergie;"""Entretien des toilettes assuré 1 fois par jour par une société prestataire de service 
Un agent en permanence dans chaque bâtiment pour assurer l'entretien des toilettes """;Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Toutes les activités;1;;Présence d'animaux ( lézards, salamandre,souris, cafards…..);A;Risque biologique;Environnement immédiat;Paludisme, allergie;""" - Désherbage du site 2 fois par an
 - Journées d'hygiéne (sensibilisation) du CHSCT 2 fois par an """;Préventif;Manuelle;;;;;;;2;2;4;2
Datacenter;Technique;Toutes les activités;1;;Prolifération de moustiques;N;Risque biologique;Environnement immédiat;Paludisme, allergie;"""Désinsectisation des bureaux par le prestataire tous les matins
Dotation d'insecticides par bureau""";Préventif;Manuelle;;;;;;;2;2;4;2
Datacenter;Technique;Restaurant;1;;Manque d'hygiène au niveau des restaurants;A;Risque biologique;Environnement immédiat;Intoxication alimentaire;""" - Entretien journalier du restaurant

 - Sensibilisation des sous traitants et mise à jour des contrats sur les aspects QSE par la DAL """;Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Technique;Salles serveurs;2;;Ambiance thermique froide (salles machines, travaux sur le terrain…);N;Risque d'hypothermie;Poste de travail;Coup de fraîcheur, engolure, rhumatisme, sécheresse de la peau, rhinite à répétition, malaise, syncope;Allées froides confinées à une température de 24°C et températures allées chaudes comprises entre 27°C et 30° C;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Toutes les activités;1;;Appareils électriques sous tension permanente;N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Inexistence d'appareils sous tension permenente en dehors des équipements techniques;Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Batiment;2;;Boitiers électriques non couverts;A;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Fermeture des boitiers électriques ;Préventif;Manuelle;Mettre des pictogrammes dangers au niveau des coffrets electriques;latsouck.diouf@orange-sonatel.com;;31/07/2017;;Non échu;1;4;4;3
Datacenter;Technique;Toutes les activités;1;;Gallerie pour passage des câbles non fermée;A;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Fermeture des galleries pour passage des câbles non fermée;Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Transformateurs BT/HT;2;;Présence de courants MT/BT du côté primaire des transformateurs (30 kV);A;Risque d'électrisation/électrocution;Poste de travail;Brûlures;"""Ce sont des Agents qualifiés (profil énergie) qui interviennent dans les postes courant haute tension
 - Formation des agents qui interviennent dans les postes courant haute tension en cours
 - Restriction des accès par biométrie au niveau de ces salles";Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Batiment;2;;Infiltration d’eau de pluie;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;"
 - Traitement de l'étancheité de la terrasse pour éviter la stagnation et l'infiltration de l'eau de pluie""";Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Intervention;1;;Rencontre de câbles électriques souterrains lors de l'ouverture des tranchées;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;"Installation de grilles avertisseurs pour les cables entérés

Cables entérrés sont dans des PVC";Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Batiment;2;;Ecoulement de l'eau de climatisation (4 Groupes froid et 3 centrales de traitement d'air);A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;"Maitenenance mensuelle des Groupe Froid et des centrales de traitement d'air pour éviter les fuites

Mise d'un système d'évacuation de l'eau des centrales de traietement d'air";Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Salles serveurs;2;;Mauvaise gestion des flux d’air au niveau des salles serveurs;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;"Confinement des allées froides au niveau des salles informatiques pour éviter le mélange des flux d'air

Fourniture des équipements en air frais pour ne pas dépasser la température 30° C sur l'allé chaude";Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Salles serveurs;2;;Mauvaises réglages des températures des salles serveurs;A;Risque de coup de chaleur;;;Paramétrage des températures au niveau des équipements froids (UTA) des salles serveuirs à 24°C;;;;;;;;;1;3;3;2
Datacenter;Technique;Salles techniques;2;;Chaleur dégagée par les équipements;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;"Confinement des allées froides au niveau des salles informatiques pour éviter le mélange des flux d'air

Fourniture des équipements en air frais pour ne pas dépasser la température 30° C sur l'allé chaude";Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Intervention;1;;Manipulation de matériel électrique ( tests, configuration);N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;"""Ce sont des Agents qualifiés (profil énergie) qui interviennent dans les postes courant haute tension
 - Formation des agents qui interviennent dans les postes courant haute tension en cours
 - Restriction des accès par biométrie au niveau de ces salles";Préventif;Manuelle;;;;;;;1;4;4;2
Datacenter;Technique;Salles techniques;2;;Bruits des serveurs;N;Risque de nuisance sonore;Poste de travail;Inconfort, surdité;""" - Casques anti bruit et bouchons anti son mis à la disposition des agents Sonatel
";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Toutes les activités;1;;Manutention (déplacement d'objets lourds);N;Risque de troubles musculo squelettiques;Poste de travail;Dorsolombalgie;Aménagement d'un quai de débarquement avec un engin d'elevage electrique commandé pour la manutention des baies de stockages;Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Manutention;1;;Manutention (déplacement d'objets lourds);N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Aménagement d'un quai de débarquement avec un engin d'elevage electrique commandé pour la manutention des baies de stockages;Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Intervention;1;;Déversement de gazoil (dépotage);A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Affichage des consignes de dépotage + equipement de bac à sable et pelle;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Intervention;1;;Déversement de gazoil (dépotage);A;Risque d'incendie;Environnement immédiat;Brûlures; - Installation de cuves à double paroi avec liquide de détection automatique de fuites au contact du gazoil entre les 2 parois;Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Intervention;1;;Présence de chutes de câbles et de cartons (déchets);A;Risque d'incendie;Environnement immédiat;Brûlures; Aménagement d'une aire de stockage pour le dépôt des déchets;Préventif;Manuelle;Déployer des bacs à déchets avec des étiquettes en plastic fixées ;angemarie.coly@orange-sonatel.com;;30/09/2017;;Non échu;1;4;4;3
Datacenter;Technique;Intervention;1;;Déversement de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Commandes de gazoil en fonction des besoins (quantité restante) pour éviter les déversements;Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Technique;Batiment;2;;Déversement de la fosse septique;A;Risque biologique;Environnement immédiat;Allergies, infections bactériennes;Organisation de vidange si nécessaire;Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Batiment;2;;Déversement de la fosse septique;A;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Dispositif de signalisation à la DAL : Gedal;Préventif;Manuelle;;;;;;;1;1;1;1
Datacenter;Technique;Intervention;1;;Echelle défectueuse (absence de patin plastique);A;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Déploiement sur site de 4 echelles et d'un échafaudage;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Intervention;1;;Garde corps mal fixé ou défectueux;A;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Garde corps fonctionnel;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Intervention;1;;Travail en hauteur;N;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);"""Formation des agents traivaillant en hauteur sur la sécurité
Dotation de l'outillage pour les travaux en hauteur (ceinture, echelle, harnais)
Sensibilisation des agents""";Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Batiment;2;;Encombrement du sol par les câbles;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Rangement des cables sur des chemins de cables en aérien;Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Batiment;2;;Sol glissant (fuites dans les toilettes);A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Nettoyage quotidien des locaux par la Société de nettoiement;Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Toutes les activités;1;;Entretien des climatiseurs aux heures de travail (poussières et humidité);A;Risque de troubles respiratoires;Poste de travail;Allergies, troubles respiratoires (asthme);"""Climatiseurs nettoyés en dehors des bureaux
Contrôle port des EPI par les agents de sécurité (casques et chaussures de sécurité) et les maques fournis par Sonatel";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Toutes les activités;1;;Inhalation de poussières;N;Risque de troubles respiratoires;Poste de travail;Allergies, troubles respiratoires (asthme);"""Les techniciens disposent de masques pour se protéger lors des travaux sur des équipements qui comportent de la poussière
Prestataires disposent de masques""";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Maintenance des équipements;1;;Escabeau défectueux ou non respect des consignes de sécurité;A;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Instructions données aux agents de sécurité sur le port d'EPI par les prestataires : Casques, chaussures de sécurité et les masques sont fournis par Sonatel au besoin;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Toutes les activités;1;;Exposition  aux imprimantes;N;Risque chimique;Poste de travail;Troubles respiratoires;"Nombre limité d'imprimantes installées

""Politique """"Zéro papier"""" et favorisation de l'échange de documents électroniques""";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Toutes les activités;1;;Manipulation de cartouches d'encre (imprimante, photocopieuse…);N;Risque chimique;Poste de travail;Troubles respiratoires;"""L'emballage des cartouches assure une sécurité suffisante
Echange des cartouches usagées au niveau du CMD""";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Impression ;1;;Substances et ordeurs dégagées par les imprimantes et photocopieuses;N;Risque chimique;Poste de travail;Troubles respiratoires;"Nombre limité d'imprimantes installées

""Politique """"Zéro papier"""" et favorisation de l'échange de documents électroniques""";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Supervision;1;;Exposition aux chaleurs des écrans de supervision;N;Risque de troubles visuels ;Poste de travail;Troubles occulaires;Vidéosurveillances et écrans de supervision à hauteur d'homme;Préventif;Manuelle;;;;;;;2;2;4;3
Datacenter;Technique;Salles transformateurs;2;;Extracteur d’air défectueux;A;Risque chimique;Poste de travail;Intoxication chimique, troubles respiratoires;Installation d'extracteurs fonctionnels;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Toutes les activités;1;;Fauteuis défectueux ou inadaptés;A;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;Fournitures de nouveaux fauteuils;Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Toutes les activités;1;;Position assise constante;N;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;""" - Sensibilisation sur les risques des positions assises longue durée dans Intracom par le CHSCT
 - Note d'information effectivement diffusée à travers Intracom, sur les bonnes postures, la nature des chaussures recommandées aux dames, la pratique du sport (randonnées, fitness afterwork, activités au Centre sportif), le programme personalisé de santé, le programme de changement des fauteuils suite à des constats de certaines pathologies.""";Préventif;Manuelle;;;;;;;2;2;4;1
Datacenter;Technique;Batiment;2;;Infiltration d’eau de pluie;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);"
 - Traitement de l'étancheité de la terrasse pour éviter la stagnation et l'infiltration de l'eau de pluie""";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Groupe électrogène;2;;Fuite de gazoil;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Installation de cuves à double paroi avec liquide de détection automatique de fuites au contact du gazoil entre les 2 parois;Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Technique;Salles techniques;2;;Non fiabilité des équipements de mesure ;A;Risque de coup de chaleur;;;Etalonnage annuel des équipemets de mesures Ex sondes de températures, thermostat ect;;;;;;;;;1;3;3;2
Datacenter;Technique;Toutes les activités;1;;Gêne causée par les rayons solaires (Poste de contrôle et de sécurités);A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;;Préventif;Manuelle;Etudier la mise en place de films sur les vitres du local Poste de contrôle Sécurité;latsouck.diouf@orange-sonatel.com;;30/09/2017;;Non échu;2;1;2;1
Datacenter;Technique;Salles techniques;2;;Inhalation de substances chimiques;N;Risque chimique;Poste de travail;Troubles respiratoires;;Préventif;Manuelle;Equiper les équipes techniques d'EPI pour atténuer l'inhalation de substances chimiques;angemarie.coly@orange-sonatel.com;;31/07/2017;;Non échu;2;3;6;1
Datacenter;Technique;Batiment;2;;Insuffisance de points lumineux;A;Risque d'accident;Poste de travail & Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Déploiement des points lumineux pour éclairer le site;Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Technique;Equipements électriques;2;;Intervention par un agent non habilité dans un poste courant MT/BT;A;Risque de court circuit;Poste de travail;Brulûre, intoxication;"""Ce sont des Agents qualifiés (profil énergie) qui interviennent dans les postes courant haute tension
 - Formation des agents qui interviennent dans les postes courant haute tension en cours";Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Intervention;1;;Intervention par un agent non habilité dans un poste courant haute tension;A;Risque d'électrisation/électrocution;Poste de travail;Brûlures;"""Ce sont des Agents qualifiés (profil énergie) qui interviennent dans les postes courant haute tension
 - Formation des agents qui interviennent dans les postes courant haute tension en cours
 - Restriction des accès par biométrie au niveau de ces salles";Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Intervention;1;;Intervention sur les équipements electriques (courant 380);N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;"Respect des normes de sécurité pour chaqueintervention
""Ce sont des Agents qualifiés (profil énergie) qui interviennent dans les postes courant haute tension
 - Formation des agents qui interviennent dans les postes courant haute tension en cours";Préventif;Manuelle;;;;;;;1;4;4;2
Datacenter;Technique;Batiment;2;;Manque d'eau (coupures d'eau;A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Installation sur le site de réservoir d'eau de 2, 5 metre cubes et d'une bache d'eau de 80 metre cube pour pallier les coupures;Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Technique;Maintenance des équipements;1;;Manutention (déplacement d'objets lourds);N;Risque de chute de plain pied;Poste de travail;Traumatisme (fracture, entorse), douleurs musculaires;Aménagement d'un quai de débarquement avec un engin d'elevage electrique commandé pour la manutention des baies de stockages;Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Technique;Batiment;2;;Mauvaise visibilité des marches;A;Risque de chute de plain pied;Poste de travail;Traumatisme (fracture, entorse, plaie ouverte…);Construction du site sur un niveau avec une terrasse accessible;Préventif;Manuelle;;;;;;;1;3;3;2
Datacenter;Technique;Impression;1;;Odeur de l'encre (imprimantes);N;Risque de nuisance olfactive;Poste de travail;Inconfort;"Nombre limité d'imprimantes installées

""Politique """"Zéro papier"""" et favorisation de l'échange de documents électroniques""";Préventif;Manuelle;;;;;;;1;1;1;1
Datacenter;Technique;Salles serveurs;2;;Plancher défectueux (mauvaise disposition,trous, instabilité, travaux en cours...;N;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Installation de nouveaux planchers;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Mise sous pli;1;;Position debout constante;N;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;Agents travaillent en brigades;Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Toutes les activités;1;;Poussières;N;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Nettoyage quotidien des locaux par la Société de nettoiement;Préventif;Manuelle;;;;;;;2;1;2;2
Datacenter;Technique;Cuves;2;;Odeur du gazoil;N;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Masques de protection pour les agents de nettoiement;Préventif;Manuelle;;;;;;;2;1;2;2
Datacenter;Technique;Toutes les activités;1;;Tabagisme passif (personnes fument dans les locaux);A;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;""" - Les agents ne fument pas dans les bureaux et sur le site";Préventif;Manuelle;;;;;;;1;1;1;2
Datacenter;Technique;Salles techniques;2;;Intrusion des animaux dans les salles ITN ex reptiles;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Fermeture des tuyaux PVC et entrées de cables par de la mousse;Préventif;Manuelle;;;;;;;2;3;6;2
Datacenter;Technique;Nettoiement;1;;Utilisation de produits d'entretien  (acide, eau de javel, pâte à cafard, désodorisant);N;Risque biologique;Poste de travail;Allergies, intoxicaton, brûlure;""" - Les agents de la Société de nettoiement interviennent en dehors des heures de travail
Mise à disposition des fiches de données de sécurité";Préventif;Manuelle;;;;;;;2;2;4;2
Datacenter;Technique;Nettoiement;1;;Utilisation de produits d'entretien  (acide, eau de javel, pâte à cafard, désodorisant);N;Risque chimique;Poste de travail;Allergies, intoxicaton, brûlure, troubles occulaires;Fournitures d'EPI aux agents chargés du nettoiement des bureaux et des salles techniques;Préventif;Manuelle;;;;;;;2;2;4;2
Datacenter;Technique;Salles serveurs;2;;Bruits des signaux d’alarme;N;Risque de nuisance sonore;Poste de travail;Inconfort, surdité;""" - Casques anti bruit et bouchons anti son mis à la disposition des agents Sonatel ";Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Salles serveurs;2;;Objets stockés en hauteur (rack de stockage);A;Risque de chute d'objet lourd;Environnement immédiat;Traumatisme cranien;Les serveurs sont placés à hauteur d'homme au niveau des rack des salles techniques;Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Batiment;2;;Absence de signalétique de sécurité;A;Risque d'accident;;;Déploiement des signalétiques de sécurité;;;;;;;;;1;3;3;3
Datacenter;Technique;Batiment;2;;Absence de plan de circulation;A;Risque d'accident;;;;;;Mettre un plan de circulation au niveau du site Datacenter;latsouck.diouf@orange-sonatel.com;;30/09/2017;;Non échu;2;3;6;1
Datacenter;Technique;Batiment;2;;Absence de plan d'évacuation;A;Risque d'accident;;;Mise en place d'un pla d'évacuation provisoire;;;;;;;;;1;3;3;3
Datacenter;Technique;Intervention;1;;Surtension secteur senelec;N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Installation de paratonnere et de parafoudre dans les tableaux electriques;Préventif;Manuelle;;;;;;;1;4;4;2
Datacenter;Technique;Intervention;1;;Attaque de foudre;N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Installation de paratonnere et de parafoudre dans les tableaux electriques;Préventif;Manuelle;;;;;;;1;4;4;2
