SITE;Domaine d'activité;Activité/ Equipement;Type(Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Groupe électrogène;Groupe électrogène;2;;Déchets (huiles, filtres);N;Risque biologique;Environnement immédiat;Allergies, troubles respiratoires (asthme); - Les contrats avec les prestataires exigent l'enlèvement des dechets. - Sensibilisation des prestataires qui entretiennent les GE pour l'enlèvement systématique des huiles et filtres après les travaux d'entretien;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Déplacement du personnel en pleine nuit ;A;Risque d'agression physique;Poste de travail;Traumatisme;Instructions régissant les interventions terrain des équipes techniques;Preventif;Manuelle;;;;;;;2;4;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Déplacements réguliers sur de longues distances;N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Sensibilisation sur la sécurité routière et sur les règles de conduiteEntretien des véhicules d'interventions;Preventif;Manuelle;;;;;;;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Dépôt de déchets;N;Risque d'incendie;Environnement immédiat;Brûlures;Les dechets sont soit récuperés par le prestataire, soit convoyé vers l'air de stockage au niveau du Ziguichor FHDispositif de gestion des dechets piloté par DAL/APP;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Groupe électrogène;Groupe électrogène;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;A;Risque d'incendie;Environnement immédiat;Brûlures;Le dépotage est pris en charge par le fournisseur. Existence d'un contratVérification par le CI du respect des dispositions contractuelles lors des livraisons de carburant par le forunisseur;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Déversement du mercure des néons cassés;A;Risque chimique;Poste de travail;Intoxication au mercure;Le prestataire est chargé de remplacer les ampoules et d'emporter les ampoules défectueuses;Preventif;Manuelle;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Eaux stagnantes;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Reprise du dallage à l'entrée du site Pompage des eaux stagnantes;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Echelle défectueuse (absence de patin plastique);A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…); - Procédure de réforme du matériel défectueux - Remplacement des échelles défectueuses - Adaptation des EPI en fonction des agents - Réforme périodique les EPI dégradables (ceinture, échelles……);Preventif;Manuelle;;;;;;;1;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Climatiseur;Climatiseur;2;;Ecoulement de l'eau de climatisation;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Réparation de évacuation de l'eau des climatiseur confiée à un prestataireMaintenance préventive de la climatisation;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Emanation de gaz;A;Risque de troubles respiratoires;Environnement immédiat;Anoxie, asphixie, maux de tête, allergies;Existence d'extracteurs d'air dans les locaux abritant des équipements Consigne sur l'aération des chambres avant les interventions techniques;Preventif;Manuelle;;;;;;;3;3;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Equipements de Protection Individuelle non adaptés ;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé); - Existence d'EPI mis à disposition des agents d'intervention - Renouvellement périodique des EPI ;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Escabeau;Escabeau;2;;Escabeau défectueux;A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Remplacement des escabeaux defectueux. Expression du besoin envoyée à DAL;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Etanchéité défectueuse;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Signalisation des dysfonctionnements dans GEDAL et prise en charge des besoins exprimés par les CR par la DAL;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Etanchéité défectueuse;A;Risque biologique;Poste de travail;Allergies, mycoses, champignons, intoxication au plomb;Programme annuel de travaux sur l'étancheité conduit par DAL;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Explosion;A;Risque d'incendie;Environnement immédiat;Brûlures;Consigne sur l'aération des chambres avant les interventionsSalles batteries équipées d'extracteurs d'airMaintenance préventive et curative des extracteurs d'air par des prestataires;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Exposition aux radiations des antennes, émetteurs et fibres optiques;N;Risque d'irradiation;Poste de travail;Lésions cutanées, maux de tête, lésions occulaires, chutes de cheveux…;Bonne fermeture des connecteurs, veiller à l'étancheitéLimitation de l'accès aux sites à des agents habilitésFourniture d'EPI aux agents intervenant au niveau de l'antenne;Preventif;Manuelle;;;;;;;4;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Extracteur d’air défectueux;A;Risque de nuisance olfactive;Environnement immédiat;troubles respiratoires,réactions allergiques,AsthmeInconfort;Signalisation des dysfonctionnements dans GEDAL pour prise en charge par la DAL pour la maintenance curativeen relation avec le prestataire Solarcom ;Preventif;Manuelle;;;;;;;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Fauteuil;Fauteuil;2;;Fauteuis défectueux ou inadaptés;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);Remplacement des fauteuils inadaptés pour raison médicale par la DAL sur demande de DRH/SHT;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Groupe électrogène;Groupe électrogène;2;;Fuite de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Vérification du respect des dispositions contractuelles par le CI lors de la livraisosn de carburant par le fournisseur;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Fuite de gazoil (dépotage);A;Risque chimique;Environnement immédiat;Troubles respiratoires, allergies, brûlures;La correction des fuites est prise en charge par les équipes ou par le sous traitantUn contrat d'entretien est signé pour les groupes (Eydon et Oryx)Maintenance préventive mensuelle ou en fontion du nombre d'heures de fonctionnement remonté au prestataire;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Garde corps mal fixé (cordon de sécurité);A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Formation des agents travaillant en hauteur sur la sécuritéDotation de l'outillage pour les travaux en hauteur (ceinture, echelle, harnais);Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Gêne causée par les rayons solaires;A;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;Signalisation des dysfonctionnements dans GEDAL et prise en charge des besoins exprimés par les CR par la DAL;Preventif;Manuelle;;;;;;;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Infiltration d’eau de pluie  ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Refection de l'étancheité pris en chargeMaintenance de l'étancheité;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Inhalation de poussières;A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;Entretien quotidien des locaux par un prestataireDotation périodique de lait aux agents des fonctions les exposant à l'inhalation de poussièresMise à disposition de masques de protection pour les travaux de maintenance des équipes techniques ;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Inhalation de substances chimiques;A;Risque chimique;Poste de travail;Troubles respiratoires;Echappements des GE rehaussés;Preventif;Manuelle;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Insuffisance de points lumineux (mauvais éclairage du site);A;Risque d'accident;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Installation de projecteurs au niveau du site ;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Intervention en monôme ;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);A modifier;Preventif;Manuelle;;;;;;;3;3;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Manipulation de matériel électrique ( tests, configuration);A;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Formation des agents sur les interventions électriques pour le respect des normesMise à disposition d'EPI (gants) de protection pour les interventions sur les équipements électriques;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Manipulation de matériels usagés (sales);N;Risque biologique;Poste de travail;Infections, allergies;Dotation d'EPI (masque, gants) pour le personnel des accueilsDotation de liquide antibactérien;Preventif;Manuelle;;;;;;;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Manque d'eau (coupures d'eau;A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Existence d'un abonnement SDE;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Manque d'hygiène dans les toilettes;A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Entretien quotidien du site par un prestataireLes prestataires sont évalués chaque mois et certification des factures par le RA;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Véhicules;Véhicules;2;;Mauvais état des véhicules;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Maintenance préventive et curative des véhicules du parc de l'agence par des prestataires de servicesPropositions de réforme formulées à la DAL es véhicules amortis ou préssentant des dysfonctionnements ne pouvant pas permettre leur utilisation;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Mauvaise position assise de l'agent ;A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs dorsales (colonne vertébrale);Communication dans Intracom sur les bonnes pratiques de position assise par DRH/SHT;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Plancher défectueux (mauvaise disposition,trous, instabilité, travaux en cours...;A;Risque d'accident;Environnement immédiat;Traumatisme cranien;Programme annuel de travaux d'inspection des sites par la DAL pour la prise en charge des travaux de réfections nécessairesPrise en charge de toutes les signalisations formulées dans GEDAL;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Plancher défectueux (mauvaise disposition,trous, instabilité, travaux en cours...;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Les réparations des locaux sont prise en charge par la DAL.Exsitence d'un système de remontée via GEDAL ;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Présence d'animaux ( lézards, salamandre,souris, cafards…..);A;Risque biologique;Environnement immédiat;Brulûre, intoxication; - Opération semestrielle avec les prestataires de nettoiement pour deratiser et desinfecter  - Destruction des nids d'abeille en collaboration avec le service d'hygiene - Clôture mis en place au niveau des locaux;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Prises non couvertes;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Maintenance préventive et curative des installations électriques par un prestataire de services;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Prolifération de moustiques;N;Risque biologique;Environnement immédiat;Paludisme ;Contrat avec les prestataires qui distribuent des insecticides et procédent au pompage des locaux;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Regards défectueux;A;Risque d'accident;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Programme annuel de travaux d'inspection des sites par la DAL pour la prise en charge des travaux de réfections nécessairesPrise en charge de toutes les signalisations formulées dans GEDAL;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Sortie tardive des bureaux ;A;Risque d'agression physique;Poste de travail;Traumatisme;Existence d'objectifs validés par tous les agents lors des séances d'évaluation SAPERSécurisation des sites par un système de gardiennage supervisé par DG/SECU;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Groupe électrogène;Groupe électrogène;2;;Stockage de carburant (cuve du groupe électrogéne);N;Risque d'incendie;Environnement immédiat;Brûlures;" - Les cuves de carburant sont éloignées des locaux - Mise en place d'une signalisation ""Risque d'incendie"" et ""Interdiction de fumer"" au niveau des zones stockage du carburant";Preventif;Manuelle;;;;;;;2;4;8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Surcharge de travail ;A;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;Fixation des objectifs annuels validés par les agents dans SAPERExistence d'une étude sur le dimensionnement des RH et la productivité au niveau des tous les sites et activités;Preventif;Manuelle;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
