Site;Domaine;Activité/Equipement;Type;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Guediawaye;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Kaffrine;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Kaolack;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Kédougou;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Kolda FH ;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Louga;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Louga FH;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Matam;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Mbour FH;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Mbour Grand Mbour;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Médina;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité

Interrupteurs et  prises électriques d’extracteur d’air posés à l’extérieur de la salle batterie.";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Ouakam;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité

Interrupteurs et  prises électriques d’extracteur d’air posés à l’extérieur de la salle batterie.";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Patte d'Oie;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Podor;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Potou;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Rufisque CI;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Sacré-Cœur;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Saint-Louis CI;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité

Interrupteurs et  prises électriques d’extracteur d’air posés à l’extérieur de la salle batterie.";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Siège;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité

Interrupteurs et  prises électriques d’extracteur d’air posés à l’extérieur de la salle batterie.";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Tambacounda;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Thiaroye;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Thiès E10;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité

Interrupteurs et  prises électriques d’extracteur d’air posés à l’extérieur de la salle batterie.";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Tivaoune FH;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Tivaoune MUX;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Ziguinchor CI;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Ziguinchor FH;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Ziguinchor MUX;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Agence Touba;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";;;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Agence Saint-Louis;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité

Interrupteurs et  prises électriques d’extracteur d’air posés à l’extérieur de la salle batterie.";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
