SITE;Domaine d'activité;Activité/ Equipement;Type( Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial;Toutes les activités;1;;Contact physique client (risque contagion);N;Risque biologique;Poste de travail;Grippe, conjonctivite virale (Appollo) ; - Existence médecine d'entreprise(visites médicales, campagnes de vaccination...) et IPM- mise à disposition de mousse antiseptique dotation de gel hydroalcoolique;Preventif;Manuelle;Etendre la mise à disposition de mousse antiseptique aux autres bâtiments : CI, FH, Agence;;;;;Soldé;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Inhalation de poussières;N;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique; - Mise à disposition de masques aux agents  - Port des EPI exigé aux agents du nettoiement - Nettoyage régulier des locaux;Preventif;Manuelle;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Groupe Electrogène;;;Déchets (huiles, filtres);N;Risque biologique;Environnement immédiat;Allergies, intoxicaton, brûlure;Les prestataires emportent les huiles mortes et les filtres après entretien;Preventif;Manuelle;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Gérer les stocks;1;;Manipulation de matériels usagés (sales);N;Risque biologique;Poste de travail;Infections, allergies; - EPI mis à la disposition des CI : gants et masques - Port des EPI exigé au personnel concerné et aux agents du nettoiement;Preventif;Manuelle;Faire un rappel des bonnes pratiques QSE : gestion des déchets (cartouches encre) port des EPI etc;fabrice Mendy;;31/12/2016;;Soldé;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Utilisation de produits d'entretien nocifs (acide, eau de javel, pâte à cafard, désodorisant);N;Risque biologique;Poste de travail;Allergies, intoxicaton, brûlure; Nettoiement en dehors des heures de service les agents du nettoiement disposent d'EPI;Preventif;Manuelle; Nettoiement en dehors des heures de service le Port des EPI doit etre  exigé aux agents du nettoiement;;;31/12/2015;;Soldé;2;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;;Bâtiment;2;;Etanchéité des murs (humidité des bureau);A;Risque biologique;Poste de travail;Allergies, mycoses, champignons, intoxication au plomb; -le batiment a été carrelé ;Preventif;Manuelle;trouver solution au probleme de l'humidité des bureaux ;;;31/12/2015;;Soldé;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial;Toutes les activités;1;;Tabagisme passif (personnes fument dans les locaux) ;A;Risque biologique;Poste de travail;Troubles respiratoires;sensibilisation;Preventif;Manuelle; - Afficher des pictogrammes d'interdiction de fumer dans les locaux;;;31/12/2016;;Soldé;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Exposition aux imprimantes;N;Risque chimique;Poste de travail;Troubles respiratoires;les imprimantes sonr installées loin e des positions de travail;Preventif;Manuelle;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Groupe Electrogène;2;;Fuite de gazoil (dépotage);A;Risque chimique;Environnement immédiat;Troubles respiratoires, allergies, brûlures;procédure d'approvisionnement en carburant des GE;Preventif;Manuelle;Appliquer la procédure d'approvisionnement en carburant des GE;;;;;Soldé;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Manipulation de cartouches d'encre (imprimante, photocopieuse…);N;Risque chimique;Poste de travail;Troubles respiratoires;Existence d'une procédure de remplacement des cartouches d'encre usagées avec DAL;Preventif;Manuelle;Faire un rappel des bonnes pratiques QSE : gestion des déchets (cartouches encre) port des EPI etc;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Déversement du mercure des néons cassés;A;Risque chimique;Poste de travail;Intoxication au mercure;Lampes remplacées déposées dans la poubelle régulièrement ramassée par le prestataire de nettoiement;Preventif;Manuelle;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production  réseau;1;;Insuffisance de points lumineux ;N;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte, …);;Preventif;Manuelle;renforcer l'éclairage au niveau de l'arriere batiment  de zig CI ;;;31/12/2015;;Soldé;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Intervention;1;;Conduite imprudente (sans port de ceinture, non respect limitation vitesse, conduite la nuit etc…);A;Risque d'accident;Poste de travail;Dommages corporels :;- Note de DAL sur les personnes habilitées à conduire et code de conduite- Sensibilisation sur les consignes de sécurité (port de ceinture, limitation vitesse, pause de 30 mn après 250km,éviter la conduite nocturne , bonne hygiène de vie: heure de sommeil, pratique sportive, pas de prise d’excitants, bonne visibilité- Suivi des dates d'entretien (respect des périodes de révision  et remonter tout dysfonctionnement constaté )- Sensibilisation des agents sur les risques d’accidents lors des missions en diffusant un message sur les risques routier.;Preventif;Manuelle;Organiser des sensibilisations régulières : rappel des  règles lors des réunions (briefings);;;;;Soldé;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Logistique;Véhicule;2;;Mauvais état des véhicules;N;Risque d'accident;Poste de travail;Dommages corporels :;Existence d'un garage et de garagistes agréésImmobilisation, réparation et éventuellement demande de remplacement du véhicule en mauvais étatrenouvellement du parc auto;Preventif;Manuelle;Immobiliser, réparer et éventuellement demander le remplacement du véhicule en mauvais état;;;;;Soldé;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et technique;Maintenance et Production Réseau;1;;Déplacements fréquents (en véhicule ou à pied);N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…); - Respect du code de bonne conduite - Sensibilisation de DAL (séminaire annuel sur la sécurité routière)- sensibilisations régulières : rappel des  règles lors des réunions (briefings);Preventif;Manuelle;Organiser des sensibilisations régulières : rappel des  règles lors des réunions (briefings);;;;;Soldé;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Prolifération de moustiques;N;Risque biologique;Environnement immédiat;Paludisme ; - Utilisation d'insecticides fournis par la société de nettoiement - Organisation de campagnes de désinfection des sites en rapport avec la société de nettoiement;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Intervention;Maintenance et Production  réseau;1;;Intervention en monôme ;A;Risque d'accident;Poste de travail;Dommages corporels :;Interventions en binômesnotes de rappel sur interdiction de certain travaux en monome;Preventif;Manuelle;;;;;;;2;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial; - Animer les actions commerciales terrain - Maintenance et Production réseau;1;;Déplacements en saison de pluie;N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…); - Respect du code de bonne conduite - Sensibilisation de DAL (séminaire annuel sur la sécurité routière);Preventif;Manuelle;Organiser des sensibilisations régulières : rappel des  règles lors des réunions (briefings);;;;;Soldé;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production  réseau;1;;Déplacements réguliers sur de longues distances;N;Risque d'accident;Poste de travail;Traumatisme; - Respect du code de bonne conduite - Sensibilisation de DAL (séminaire annuel sur la sécurité routière)- sensibilisations régulières : rappel des  règles lors des réunions (briefings);Preventif;Manuelle;Organiser des sensibilisations régulières : rappel des  règles lors des réunions (briefings);;;;;Soldé;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production  réseau;1;;Défaut de balisage des chantiers;A;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte, …);Existence de matériel de balisage pour le CISensibilisation de  sous traitants et respect des normes de sécurité;Preventif;Manuelle;Sensibiliser les sous traitants et veiller au respect des normes de sécurité;;;;;Soldé;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Absence de plan d'évacuation des sites en cas de sinistre;A;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte, …);Existence d'un plan d'évacuation du site;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte, …);Simulation d'évacuation du site en cas d'incendie effectuée par DG/SECU;Preventif;Manuelle;Déployer le plan de mise à niveau des sites : faire une simulation d'évacuation du site de Ziguinchor;;;;;Soldé;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production  réseau;1;;Déplacements dans les îles avec des eaux parfois houleuses (noyade);N;Risque d'accident;Poste de travail;Mort;Port du gilet de sauvetage (2 disponibles au niveau du CI);Preventif;Manuelle;"Optimiser les interventions dans ces zones; Doter les intervenants de gilets de sauvetage : 4 gilets pour le CIidentifier des intervenants à former sur l'habilitation marine";;;31/12/2015;;Soldé;2;4;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production  réseau;1;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Sensibilisation des acteurs et contrôle du port des EPI;Preventif;Manuelle;Faire un rappel des bonnes pratiques QSE : gestion des déchets (cartouches encre) port des EPI etc;fabrice Mendy;;31/12/2016;;Soldé;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production  réseau;1;;Déplacement du personnel en pleine nuit ;A;Risque d'agression physique;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…); - Planification des déplacements terrain  - Respect des consignes de sécurité fournies par les services compétentesVéhicule des Equipes dotés de GPS.;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Absence d'issue de secours;A;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte, …);Signalisation dans GEDAL;Preventif;Manuelle;Créer des issues de secours dans le bâtiment CI;;;31/12/2016;;Annulé;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Gardiennage;1;;"Insuffisance de l'effectif de sécurité; et manque de professionalisme";A;Risque d'agression physique;Environnement immédiat;Dommages corporels :;Sensibilisation des gadiens sur les exigences liés à la sécurité;Preventif;Manuelle;"Renforcer les effectifs de sécurité; revoir le contrat de gardiennage pour exiger d'avoir du personnel bien formé; participer à l'évaluation des prestations";;;31/12/2016;;Annulé;2;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production réseau;1;;Travail en hauteur;N;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Mise à disposiition et contrôle du port des EPIles agents ont une habilitation de travail en hauteur;Preventif;Manuelle;;;;;;;2;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et technique;Toutes les activités;1;;Fauteuil inadapté;A;Risque de chute de plain pied;Poste de travail;Mal de dos;Remplacement des fauteuils inadaptés identifiés;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et technique;Toutes les activités;1;;Fauteuil défectueux;A;Risque de chute de plain pied;Poste de travail;Mal de dos;Fauteuils défectueux signalés dans GEDAL et remplacés;Preventif;Manuelle;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Logistique;Gérer les stocks;1;;Manutention (déplacement d'objets lourds);A;Risque de chute de plain pied;Poste de travail;Mal de dos;Emploi main d'œuvre pour les tâches de manutention;Preventif;Manuelle;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Installation électrique;1;;Boitiers électriques non couverts ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Réparation des boîtiers électrique non couvert ;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Installation clim;1;;Ecoulement de l'eau de climatisation;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication; - Systéme de drainage des eaux de climatisation - Contrat de maintenance des cliamtiseurs : entretien régulier des climatiseurs et du circuit d'évacuation des eaux;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Batiment;Bâtiment;2;;Etanchéité des murs (humidité des bureau);A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien); - Signalisation dans GEDAL du probléme d'étanchéité des murs du magasin - Travaux de réparation de l'étanchéité des murs dans le programme DAL de 2013;Preventif;Manuelle;finaliser les travaux de réparation des fissures;;;;;Soldé;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Batiment;Bâtiment;2;;Ecoulement de l'eau de climatisation;A;Risque de dégradation du bâtiment;Environnement immédiat;Allergies, mycoses, champignons; - Systéme de drainage des eaux de climatisation - Contrat de maintenance des cliamtiseurs : entretien régulier des climatiseurs et du circuit d'évacuation des eaux;Preventif;Manuelle;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Batiment;Bâtiment;2;;Gêne causée par les rayons solaires (projection des rayons solaires sur les écrans);A;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;Mise en place de films anti solaire au niveau des fenêtres;Preventif;Manuelle;Installer des stores dans les locaux des accueils de Ziguinchor;;;;;Soldé;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Position assise constante devant l'écran;N;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;les nouveaux écrans de PC possedent des filtres intégréssensibilisation com interne;Preventif;Manuelle;Sensibiliser les utilisateurs de laptops et équiper les écrans des desktops de filtre(Poursuivre la distribution de filtres à tous les agents);;;;;Soldé;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Batiment;Bâtiment;2;;Présence de poussières;N;Risque de nuisance olfactive;Environnement immédiat;troubles respiratoires,réactions allergiques,AsthmeInconfort; - Société de nettoiement fait régulièrement le ménage - Agents de la Société de nettoiement  portent des EPI (masques, gants);Preventif;Manuelle;;;;;;;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Groupe Electrogène;2;;Fumée du groupe électrogène ;A;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort; - Existence de contrats de maintenance des GE - Tuyau d'échappement des GE rallongé;Preventif;Manuelle;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Odeur du carburant lors du remplissage des cuves (Echappement de gaz);A;Risque de nuisance olfactive;Environnement immédiat;Inconfort;procédure d'approvisionnement en carburant des GE;Preventif;Manuelle;Appliquer la procédure d'approvisionnement en carburant des GE;;;;;Soldé;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Pression interne et externe des clients ;N;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;Subvention d'une rencontre récréative par an au bénéfice du personnelformation ACTE;Preventif;Manuelle;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial ;Toutes les activités;1;;Surcharge de travail ;N;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;Budget pour le recrutement pour le CI;Preventif;Manuelle;Remplacer les départs en retraite et préretraite des agents du CI de Zinguichor;;;31/12/2016;;Annulé;2;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Maintenance et Production  réseau;1;;Insécurité dans la zone;A;Risque de stress;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…); - Certaines zones (zones à risque) sont évitées lors des déplacements - Planification des déplacements terrain  - Respect des consignes de sécurité fournies par les services compétentesEquipes dotées de GPS. - Véhicules en bon état au niveau de Zig - Prise en compte des possibilités offertes par le bâteau pour l'approvisionnement entre Dakar et Zig ;Preventif;Manuelle;Mettre à disposition des moyens de transport adaptés et sécurisants;;;;;Soldé;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;"Monotonie de la vie; absence de cadre d'épanouissement";A;Risque de stress;Environnement immédiat;Inconfort;Subvention d'une rencontres récréative par an au bénéfice du personnelWeekend détenteActivités sportives: randonnée pedestre;Preventif;Manuelle;Subventionner le personnel pour l'utilisation de salles de sports;;;31/12/2015;;Soldé;2;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
