SITE;Domaine d'activité;Thème de risque;Activité/ Equipement;Type(Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention / Commercial;1;;Conduite imprudente (sans port de ceinture, non respect limitation vitesse, conduite la nuit etc…);Anormal;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Sensibilisation sur la sécurité routière et sur les règles de conduite;Préventif;Manuel;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention / Commercial;1;;Coupure d’électricité ;Anormal;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise, syncope;Mise en place place de GE et d'Installation Solaires;Préventif;Manuel;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Bâtiment;2;;Absence de paratonerre;Anormal;Risque d'accident;Environnement immédiat;Brûlures;Installation de paratonerre au niveau du site;Préventif;Manuel;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Groupe électrogène;2;;Déchets (huiles, filtres);Normal;Risque biologique;Environnement immédiat;allergie, troubles respiratoires;Les constrats avec les prestataires exigent l'enlèvement des dechets.Pour les groupes qui ne sont pas sous contrat d'entretien un retour des restants d'huile est prévue;Preventif;Manuel;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Défaut de balisage des chantiers;Anormal;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires, polytraumatisme;Exsitence de règles sur la signalisation des chantiers (panneaux, distance etc..);Préventif;Manuel;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Court circuit/incendie;Anormal;Risque d'incendie;Environnement immédiat;Brûlures;La réparation des incidents sur l'electrcicité est prise en charge par un sous traitant;Préventif;Manuel;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention / Commercial;1;;Déplacement du personnel en pleine nuit ;Anormal;Risque d'agression physique;Poste de travail;Traumatisme;Les horaires de travail sont fixés à 16h45 pour la descente;Préventif;Manuel;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Déplacements fréquents (en véhicule ou à pied);Normal;Risque de troubles musculo squelettiques;Poste de travail;Dorsolombalgie;Diffusion d'une communication sur les bonnes pratiques de position assiseAcquisition des véhicules prenant en compte le confort des sièges et le nombre de passager;Preventif;Manuel;;;;;;;3;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Dépôt de déchets;Normal;Risque d'incendie;Environnement immédiat;Brûlures;Les dechets sont soit récuperés par le prestataire, soit convoyé vers l'air de stockage ;Preventif;Manuel;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Groupe électrogène;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;Anormal;Risque d'incendie;Environnement immédiat;Brûlures;Le dépotage est pris en charge par le fournisseur. Existence d'un contratExistence d'une procédure de dépotageUn agent du CI supervise le dépotage;Préventif;Manuel;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Bâtiment;2;;Eaux stagnantes;Anormal;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Pompage des eaux en fin d'hivernageRemblaie effectué attente hyvernage pour observationMise en place un dispositif de lutte régulier contre la prolifération des moustiques;Préventif;Manuel;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Ecombrement du sol par les câbles;Anormal;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Collecte et retour des chutes de câblesEnlèvement du câbles qui est déposé dans un magasin prévu à cet effetVente des chutes de câble;Préventif;Manuel;;;;;;;1;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Climatiseurs;2;;Ecoulement de l'eau de climatisation;Anormal;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Réparation de évacuation de l'eau des climatiseur confiée à un prestataire Matforce;Préventif;Manuel;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Emanation de gaz;Anormal;Risque de troubles respiratoires;Environnement immédiat;Anoxie, asphixie, maux de tête, allergies;Existence d'extracteurs d'air dans les locaux abritant des equipements qui rejettent du gazConsigne sur l'aération des chambres avant les interventionsDotation de masques aux équipes d'intervention;Préventif;Manuel;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Equipements de Protection Individuelle non adaptés ;Anormal;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé);Le choix des EPI a été effectué en fonction des dangers et des risques SST;Préventif;Manuel;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Escabeau défectueux ou non respect des consignes de sécurité;Anormal;Risque de chute de hauteur;;Polytraumatisme (fracture, entorse, plaie ouverte…);Note de sensibilisation sur le travail en hauteurLes équipes de maintenance AVCI et SODECI sont équipés d'escabeau et d'EPIDiffusion par DG SECU des consignes de sécurité aux sous traitants AVCI et SODECI lors des opérations de maintenance.;Préventif;Manuel;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Bâtiment;2;;Etanchéité défectueuse;Anormal;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Refection de l'étancheité pris en charge;Préventif;Manuel;;;;;;;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Explosion;Anormal;Risque d'incendie;Environnement immédiat;Brûlures;Consigne sur l'aération des chambres et salles batteries avant les interventions;Préventif;Manuel;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Antenne et pylône;2;;Exposition aux radiations des antennes, émetteurs et fibres optiques;Normal;Risque d'irradiation;Poste de travail;Lésions cutanées, maux de tête, lésions occulaires, chutes de cheveux…;Bonne fermeture des connecteurs, veiller à l'étancheitéLimitation de l'accès aux sitesRègles de limitation des puissances en cas d'intervention Ex: arrêt de la BTS lors d'une intervention prolongée;Preventif;Manuel;;;;;;;4;1;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Extracteur d'air;2;;Extracteur d’air défectueux;Anormal;Risque chimique;Poste de travail;Intoxication, asphixie;Remplacement des extracteurs HS par Solarcom;Préventif;Manuel;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Mobilier de bureau;2;;Fauteuis défectueux ou inadaptés;Anormal;Risque de chute de plain pied;Poste de travail;Mal de dos;Existence d'une procédure budgétaire qui prévoit l'acquisition de fauteuil pour le personnelLes fauteuils defectueux font l'objet d'une réparation par un prestataire;Préventif;Manuel;Procéder au changement de fauteuils défectueux ou inadaptés pour les équipes CI de Guediawaye;Papa Alioune Diop;;31/12/2017;;Non échu;4;2;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Groupe électrogène;2;;Fuite de gazoil (dépotage);Anormal;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;La correction des fuites est prise en charge par les équipes ou par le sous traitantUn contrat d'entretien est signé pour les groupes (matforce et equiplus)Maintenance préventive trimestrielle;Préventif;Manuel;;;;;;;2;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Groupe électrogène;2;;Fumée du groupe électrogène ;Normal;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;Existence de contrat d'entretien trimestriel des GE avec Sodequip, Equiplus;Preventif;Manuel;;;;;;;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Garde corps mal fixé (cordon de sécurité);Anormal;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);Formation des agents traivaillant en hauteur sur la sécuritéDotation de l'outillage pour les travaux en hauteur (ceinture, echelle, harnais);Préventif;Manuel;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Goulottes qui traversent le sol;Anormal;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Mise à niveau du répartiteur et de la salle du groupe electrogène;Préventif;Manuel;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Groupe électrogène;2;;Inhalation de substances chimiques;Anormal;Risque chimique;Poste de travail;Troubles respiratoires;Echappements des GE rehaussésDotation de masques;Préventif;Manuel;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Installation électrique instable ou vetuste;Anormal;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Signalisation dans GEDAL et prise en charge de la réparation soit par DAL soit prise en charge en local;Préventif;Manuel;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Manipulation de matériel électrique ( tests, configuration);Anormal;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Dotation de gangs à tous les équipes qui travaillent sur du matériel electriqueFormation des agents sur l'energie electrique;Préventif;Manuel;Fournir les habilitations aux agents CI qui interviennent sur les équipemnsts électriques;Lat Souck Diouf;;31/12/2017;;Non échu;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Manipulation de matériels usagés (sales);Normal;Risque biologique;Poste de travail;Infections, allergies;Dotation d'EPI (masque, gants);Preventif;Manuel;;;;;;;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Manutention (déplacement d'objets lourds);Normal;Risque de chute de plain pied;Poste de travail;Traumatisme (fracture, entorse), douleurs musculaires;Sollicitation de prestataires pour la manutention des objets lourds;Preventif;Manuel;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Véhicules;2;;Mauvais état des véhicules;Anormal;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Existence d'une procédure d'entretien et réparation des véhicules et de reforme;Préventif;Manuel;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Mauvaise position assise de l'agent ;Anormal;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;Diffusion d'une communication sur les bonnes pratiques de position assise;Préventif;Manuel;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Présence de  rats dans les chemins de câbles et les goulottes;Anormal;Risque biologique;Environnement immédiat;Brulûre, intoxication;Mise en œuvre la dératisation trimestrielle des locaux;Préventif;Manuel;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Rejet mégot de cigarette;Anormal;Risque d'incendie;Environnement immédiat;Brûlures;"une signalisation ""Interdiction de fumer"" au niveau des sites";Préventif;Manuel;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Sortie tardive des bureaux ;Anormal;Risque d'agression physique;Poste de travail;Traumatisme;Horaire nomal de travail fixé par la DRH(ex.: heure de descente normale à 16h45);Préventif;Manuel;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Groupe électrogène;2;;Stockage de carburant (cuve du groupe électrogéne);Normal;Risque d'incendie;Environnement immédiat;Brûlures;"une signalisation ""Risque d'incendie"" et ""Interdiction de fumer"" au niveau des zones stockage du carburant";Preventif;Manuel;;;;;;;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Surcharge de travail ;Anormal;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;Fixation des objectifs annuels validés par les agents dans SAPERExistence d'une étude sur le dimensionnement des RH et la productivité au niveau des tous les sites et activités;Préventif;Manuel;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Tabagisme passif (personnes fument dans les locaux) ;Anormal;Risque biologique;Poste de travail;Troubles respiratoires;affiches précisant l'interdiction de fumer dans les locaux;Préventif;Manuel;;;;;;;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Travail en hauteur;Normal;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Formation des agents traivaillant en hauteur sur la sécuritéDotation de l'outillage pour les travaux en hauteur (ceinture, echelle, harnais)Sensibilisation des agents;Preventif;Manuel;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Entretien des locaux;1;;Utilisation de produits d'entretien  (acide, eau de javel, pâte à cafard, désodorisant);Normal;Risque chimique;Poste de travail;Idem risque biologique, troubles occulaires; - Les agents de la Société de nettoiement portent des gants - Le nettoyage ne se fait pas en présence des occupants des bureaux (agents sortent)-Les produits sont rangés et conservés dans une caisse - Nettoyage des magasins à la demande des gérantsévaluation des prestataires de nettoyage par les agents (DRH);Preventif;Manuel;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Antenne et pylône;2;;Voisinage immédiat de l'antenne (surtout en cas de vent fort);Anormal;Risque de chute d'objet lourd;Environnement immédiat;Traumatisme cranien, plaie ouverte;Intégration dans la maintenance de l'étude de la charge des pylones et de la durée de vieMise en place des haubans au niveau des pylones;Préventif;Manuel;;;;;;;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
