Site;Domaine;Activité/Equipement;Type (Activité ou equipement ) ;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Dat de début;Date fin;Avancement du plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Chute de câbles;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant leur récupération par la DAL pour leur vente aux clients ciblés;Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Emballage des terminaux chez les clients;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Contrôle opérationnel et suivi des chantiers par le CI après les travaux effectués par les prestataires et fournisseurs (vérification dus respect des clauses contractuelles);Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Poussières  en perçant le murs;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Contrôle opérationnel et suivi des chantiers par le CI après les travaux effectués par les prestataires et fournisseurs (vérification dus respect des clauses contractuelles)Entretien quotidien du site par un contractuel;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Deversement de produits toxiques, corosifs ( gresil);Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien du site par un prestataire dont les employés disposent d'EPI nécessaires pour l'usage de produits toxiquessensibilisation faite  lors des réunions d'établissement (1/mois);Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Rejets des emballages, encombrements;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Contrôle opérationnel par le CI, nettoyage des sites par les prestataires et fournissuers après les travaux;Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Bruit du groupes;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;GE isolé dans la cour et capoté;Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Déversement, fuite  de gasoil;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Livraison du carburant pour l'alimentation des GE par un fournisseur conformément aux dispositions contractuellesSupervision du dépotage par le CI;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Cartouche, huile morte, batteries laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Procédurre des gestion des déchets, cartouches retournées à la DSI pour renouvellement, maintenace du GE par un prestataire, batteries récupérées par la DAL pour vente aux clients ciblés;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Fuite d'électrolyte des accumulateurs ou d'un déversement accidentel;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Maintenance préventive assurée par les prestataires chargés d'assurer le nettoyage ;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Chute de cables, jarretière, fusible;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Procédure de gestion des déchets, types de déchets récupérés par la DAL pour vente aux clients ciblés;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Bruit des serveurs;Normal;Nuisance sonore;Etres humains, Faune;;isolation de la salle techniqueEPI (casque anti bruit) mis à disposition des équipes pour leur protection en cas de besoin;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Bruit des perceuses;Normal;Nuisance sonore;Etres humains, Faune;;EPI (casque anti bruit) mis à disposition des équipes pour leur protection en cas de besoin;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Bruit des transformateurs;Normal;Nuisance sonore;Etres humains, Faune;;isolation de la salle techniqueEPI (casque anti bruit) mis à disposition des équipes pour leur protection lors des interventions;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Bruit des redresseurs;Normal;Nuisance sonore;Etres humains, Faune;;isolation de la salle techniqueEPI (casque anti bruit) mis à disposition des équipes pour leur protection lors des interventions;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Commercial et intervention;Commercial Intervention;1;;Forte consommation de papier;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Communication et sensiblisation du personnel sur les gestes verts;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Commercial;Commercial;1;;Rejets Tickets GFA;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Récupération des tickets GFA par les caissiersRécupération des tickets par les agents frontNote de sensibilisation sur l'usage des tickets GFA;Préventif;Manuelle;;;;;;;2;1;2;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Mauvais placement et niveau surelevés par rapport au niveau de la chaussée;Anormal;Pollution visuelle;Etres humains;;Contrôle opérationnel et suivi des chantiers par le CI après les travaux effectués par les prestataires et fournisseurs (vérification dus respect des clauses contractuelles);Préventif;Manuelle;;;;;;;1;2;2;3
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Manque d'harmonie entre les installations et l'environnement;Normal;Pollution visuelle;Etres humains;;Respect des normes d'ingénierie pour l'installation des équipements, prise en charge et traitement des réclamations éventuelles;Préventif;Manuelle;;;;;;;1;2;2;3
Agence Cheikh anta;Intervention et exploitation;Groupes électrogènes;2;;Fumée dégagée par le groupe électrogène;Normal;Pollution de l'air;Air;;La cheminée est à une hauteur élevée;Détectif;Manuelle;;;;;;;2;1;2;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Forte consommation d'eau;Anormal;Surconsommation d'eau;Ressources naturelles;;Signalisation des dysfonctionnements dans GEDAL pour prise en charge des réparations nécessaires par les prestataires de services sous la supervision de la DALCommunication et sensiblisation du personnel sur les gestes vertsRonde des vigiles pour s'assurer que tous les robinets sont fermés après les heures de bureau;Préventif;Manuelle;;;;;;;3;1;3;1
Agence Cheikh anta;Intervention;Intervention;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;;Communication et sensiblisation du personnel sur les gestes verts;Préventif;Manuelle;;;;;;;3;1;3;1
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;prolifération de l'anophèle (paludisme) dans les eaux stagnantes issues de la climatisation.;Anormal;Risque sur la  santé des Hommes;Etres humains;;Entretien quotidien du site assuré par un prestataire qui fournit désinsectise périodiquement tout le site;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Rayonnement électromagnétiques des pylones et antennes (téléphonie mobile et transmission hertzienne);Normal;Risque sur la  santé des Hommes;Etres humains;;Respect des normes d'ingénierie pour l'installation des équipements, prise en charge et traitement des réclamations éventuelles;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Fatick;Commercial;ventes des produits;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers et emballagesExistence d'une procédures de gestion des dechets;Détectif;Manuelle;;;;;;;4;2;8;1
Agence Fatick;Commercial;ventes des produits;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée des déchets et matériels hors usage ;Alassane Diack;;31/12/2017;;Non fait;4;2;8;1
Agence Fatick;Commercial;ventes des produits;1;;Papiers, ticket GFA;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers;Détectif;Manuelle;;;;;;;4;2;8;1
Agence Fatick;Commercial;ventes des produits;1;;Utilisation de papier;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers et emballages;Détectif;Manuelle;;;;;;;4;2;8;1
Agence Fatick;Commercial;Gestion du stock;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers et emballagesExistence d'une procédures de gestion des dechetsExistence de filière de recyclage;Préventif;Manuelle;;;;;;;4;2;8;1
Agence Fatick;Commercial;Gestion du stock;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée des déchets et matériels hors usage ;Alassane Diack;;31/12/2017;;Non fait;4;2;8;1
Agence Fatick;Commercial;Groupes Electrogène;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Alimentation des cuves du groupe électrogène par le fournisseur tenu de respecter les termes du contrat (utilisation d'équipements conformes) - Présence du RCG lors de la livraison du carburant par le fournisseur-procédure et mode opératoire sur le dépotage du carburant;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Fatick;Commercial;Groupes Electrogène;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager un bac de retention pour éviter les déversement de gasoil de la cuve du GE ;Alassane Diack;;31/12/2017;;Non fait;2;2;4;2
Agence Fatick;Intervention;Cuves;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Alimentation des cuves du groupe électrogène par le fournisseur tenu de respecter les termes du contrat (utilisation d'équipements conformes) - Présence du RA lors de la livraison du carburant par le fournisseur;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Fatick;Intervention;Cuves;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager un bac de retention pour éviter les déversement de gasoil de la cuve du GE ;Alassane Diack;;31/12/2017;;Non fait;2;2;4;2
Agence Fatick;Commercial;Groupes Electrogène;2;;Dégagement de Gaz (GE);Normal;Pollution de l'air;Air;;Réorientation de la cheminée du GERallongement du pot d'échappement ;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Fatick;Commercial;Groupes Electrogène;2;;Dégagement de Gaz (GE);Normal;Pollution de l'air;Air;;;Préventif;Manuelle;Réorienter la cheminée du GERallonger le pot d'échappement et l'orienter vers le haut;;;31-12-2015;;Soldé;2;2;4;2
