Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email du Porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Commercial;Image;Ressources Humaines;Juridique;Criticité;Maturité CI
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les réclamations fournisseurs;Risque de mauvais  traitement  des  réclamations Clients/Fournisseurs;Mauvaise communication à l'endroit du fournisseur;;;;;;;;"Création d'une boîte mail de réception des réclamations des fournisseurs. Fixation de deux objectifs aux collaborateurs traitant ls réclamations: - J+2 pour une analyse et une réponse aux réclamations postées par mail - J+7 pour les réclamations arrivées par courrier physique
les collaborateurs qui traitent les réclamations fournisseurs ont toutes les compétences pour traiter les réclamations et les sondages déroulés auprès des fournisseurs n’ont pas remonté de problème communication en leur endroit";Correctif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les réclamations fournisseurs;Risque de mauvais  traitement  des  réclamations Clients/Fournisseurs;Non exhaustivité de la prise en charge des remontées;;;;;;;;- Mise en place d'une adresse de remontée des réclamations et communication aux fournisseurs - Remontées reçues par une vingtaine de personnes : APPS acheteurs, DFC - Focus hebdo sur les réclamations de la semaine et une diffusion interne DAL - Délai de t;Détectif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les demandes d'achat;Risque de mauvaise prise en charge des demandes clients internes;Descriptif DA non précis;;;;;;;;"Rebouclage avec le CR demandeur pour une meilleure compréhension du besoin pour le cas de DCIR: les autorisations de commande sont fournies par DCIR Affectation des dossiers aux gestionnaires s'il existe déjà un contrat, ou une autorisation ou un PVA (Procès verbal d'adjudication)
Sinon le dossier est affecté aux acheteurs
Objectif de traitement de la DA en 6 jours ouvrés
Informations obligatoires dans la DA pour traitement: Nom du fournisseur, montant de la commande, délai de livraison et conditions de paiement";Préventif;Manuelle;2;1;1;1;1;;;2;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les demandes d'achat;Risque de mauvaise prise en charge des demandes clients internes;délais et modes de paiement non conformes ;;;;;;;;"Bouclage au téléphone systématique
Fichier de suivi de l'ensemble des étapes de traitement et de validation des bons de commandes pour respecter le délai de 6 jours";Préventif;Manuelle;2;1;1;1;1;;;2;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les demandes d'achat;Risque de mauvaise prise en charge des demandes clients internes;création erronée de la commande;;;;;;;;"Contrôle par le chef de service du choix du bon fournisseur et l'aspect fiscalité (avec le concours de DFC/FISC)Contrôle par DFC/CGE de la saisie de la commande dans le bon compte Oracle puis autorisation ou rejet de la demande selon l'opportunité jusqu'à  5 millions. Pour plus de 5 millions, validation par le DFC pour SA
pour SM, toute la validation se fait par le CGE
Edition de la commande et de tout le dossier d'achat quand le BC est approuvé par le gestionnaire puis contrôle par le chef de service puis APPS, puis  signature par le DAL jusqu'à 10 millions, jusqu'à 20 millions par le DGA, au-delà par le DG";Préventif;Manuelle;2;1;1;1;1;;;2;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les demandes d'achat;Risque de non maîtrise des achats (délai et qualité);non respect des délais de traitement;;;;;;;;Objectif de traitement des DA en 6 jours ouvrés. Pour les dossiers transmis aux acheteurs, le délai n'est plus de 6 jours. Tout le processus achat est enclenché;Préventif;Manuelle;1;1;1;;1;;;1;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les retours;Risque de non respect des dispositions juridiques et reglementaires;non respect des normes environnementales de gestion des déchets;;;;;;;;"Respect des normes ISO 14001 et 26000 à travers les audits de certification
Suivi documentaire pour la traçabilité des déchets: 
- fiche de déclaration de déchets signée par le rédacteur et son N+1
- Enlèvement au besoin par DAL/GCL
- Lettre de réforme adressée au DG par DAL pour les immo ou autorisation de réforme pour les autres types
- Revente des déchets aux partenaires par type de déchets
- Bordereau de suivi des déchets signé par les partenaires
- Présentation d'un certificat de démantélement et de recyclage par les partenaires

Projet d'automatisation en cours";Préventif;Manuelle;1;2;1;;3;1;1;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les retours;Risque de fraude;détournement des déchets;;;;;;;;"Pour les ventes aux enchères:
- lancement de la vente par mail copie DAL/GCL et GCL/CCL
- dossier d'enchères validé par GCL/CCL
- choix des partenaires retenus sur la base de leur capacité à justifier leurs activités et leur respect des normes
- paiement directement par virement ou à la caisse avec les justificatifs
- signature du bordereau d'enlèvement après constat du paiement par GCL/CCL";Préventif;Manuelle;1;1;1;;1;1;;1;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les retours;Risque de Corruption;entente avec un partenaire pour bénéficier des fruits des ventes/recyclages/etc des déchets;;;;;;;;"- validation du choix des partenaires avec l'implication du DAL/GCL
- absence de négociation: vente aux enchères; propositions reçues par mail
- choix systématique du mieux-disant sans renégociations";Préventif;Manuelle;1;2;1;;3;1;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Coordonner les activités de la supply chain;Risque de non maîtrise des projets (organisation, qualité travaux,délai) ;mauvaise définition des objectifs;;;;;;;;"- Tenue d'ateliers pour convenir des objectifs poursuivis avec les structures impliquées
- Support du centre d'excellence supply chain groupe
- validation de la lettre de mission par DG";Préventif;Manuelle;2;1;1;;1;1;;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Coordonner les activités de la supply chain;Risque de non maîtrise des projets (organisation, qualité travaux,délai) ;insuffisance des ressources allouées pour la conduite des projets supply chain;;;;;;;;"Lettre de mission signée systématiquement par le DG

Process en cours de mise en place:
- validation des prérequis avec les différentes parties prenantes";Préventif;Manuelle;2;1;1;;1;1;;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Coordonner les activités de la supply chain;Risque de non fiabilité de l'information pour le pilotage;manque de fiabilité des données remontées;;;;;;;;Support dans la définition du dictionnaire des indicateurs supply chain par GCL/CCL;Préventif;Manuelle;1;1;1;;1;1;;1;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer la distribution;Risque de non maîtrise des stocks;Erreurs dans le traitement des commandes  (Suivi manuel du stock par GDS);;;;;;;;"Réception hebdo :
- du fichier de suivi du stock en entrepôt par GDS
- de l'état des stocks/ventes s-1 par les gestionnaires des stocks de l'ensemble des agences
- Calcul à partir des données fournies par les gestionnaires dans le système AVA, le stock à livrer la semaine suivante
 - Participation aux BR mensuels de DV

Pistes d'amélioration: Fiabilisation de Nessico pour un suivi proactif du stock";Préventif;Manuelle;2;2;1;2;;;;3;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer la distribution;Risque de non maîtrise des stocks;Erreurs de livraison par le prestataire;;;;;;;;"Bordereau de transport renseigné par le prestataire
Bordereau de livraison détaillé signé par le gestionnaire après réception des colis 
Régularisation par GDS dans les SI concenés (Ex: Nessico, etc) en cas d'écart signalé et justifié";Préventif;Manuelle;2;2;1;2;;;;3;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer la distribution;Risque de non maîtrise des stocks;altération des colis;;;;;;;;Commandes en cours d'un scotch qui signale les ouvertures de colis;Préventif;Manuelle;2;2;1;2;;;;3;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer la distribution;Risque de non maîtrise des stocks;absence de remontée des données push par les agences;;;;;;;;Livraison des commandes hors push;Préventif;Manuelle;2;2;1;2;;;;3;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer la distribution;Risque de fraude;Détournement du stock;;;;;;;;"Obligation pour GDT de participer aux inventaires des gestionnaires de stocks des agences réalisés par les SCE  (choix  parmi les agences) 
Rapport des inventaires partagé par GDS
Approbation des inventaires par DFC/SMP

Commandes en cours d'un scotch qui signale les ouvertures de colis";Préventif;Manuelle;2;2;1;2;3;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer la distribution;Risque de fraude;manque de visibilité sur la consommation du stock par les agences (absence de remontée des données push par les agences);;;;;;;;"Livraison des commandes hors push
Alerte de la hiérarchie
Mesure disciplinaire: pas de livraison en cas de non respect du système push";Préventif;Manuelle;2;2;1;2;3;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de non maîtrise des stocks;Détournement de stocks ;Intégrer le suivi du stock mobile SPARE dans Oracle;Marième THIAM;;;31/12/2016;;Soldé;Suivi du stock mobile spare géré dans le projet supply chain. chantier SI en cours avec SMP et DSI;Préventif;Automatique;1;2;1;2;;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de non maîtrise des stocks;Détournement de stocks ;;;;;;;;"Inventaire général des magasins spare (sacré coeur, Kaolack, Louga, Ziguinchor et Potou) réalisé pour avoir un état du stock spares au moins une fois par an
Inventaires partiels au besoin
accès au magasin par biométrie
escorte des techniciens lors des retraits par les vigiles
présentation d'un bon de sortie
Suivi du stock spare manuellement 
Diffusion du suivi spare hebdomadairement au copil spare
Les gestionnaire sont rattachés à DAL et ont subi des formations de suivi du stock Demande faite aux CI de remonter hebdomadairement l'état de leur  stock 


Attente automatisation du suivi spare dans le cadre du projet supply chain";Préventif;Manuelle;1;2;1;2;;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de non maîtrise des stocks;Détournement de stocks ;;;;;;;;Tous les matériels du fixe sortis sont enregistrés dans @ttache sur la base des Bons de consommation pour suivi  avec la possibilité de faire des balances des matériels utilisés et détaillés sur les fiches d'intervention. Les retours sont enregistrés sur la base des fiches d'intervention. Les sous traitants peuvent se connecter à distance  - à valider par MSQ. Suivi du stock mobile spare géré dans le projet supply chain. chantier SI en cours avec SMP et DSI;Préventif;Manuelle;1;2;1;2;;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de dégradation de la qualité de service;Matériel de mauvaise qualité;;;;;;;;"Tests du matériel avant livraison
Validation du matériel par la structure concernée dans DRPS avant achat et avant intégration dans le réseau 

Piste d'amélioration: Demande formulée à DRPS dans le cadre du copil spare d'installation d'un banc de test dans les magasins";Préventif;Manuelle;1;2;1;2;3;;2;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de dégradation de la qualité de service;Défaut de ventilation du stock;;;;;;;;"Remontées hebdo de DRPS/DINT à DAL/GCL du niveau de stock des CI
Tenue des copil spare mensuels
Coordination avec les Ingénieurs Système pour la ventilation du stock";Préventif;Manuelle;1;2;1;2;3;;2;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de dégradation de la qualité de service;Indisponibilité du stock existant;;;;;;;;Reporting hebdo de suivi du stock sur l'ensemble du sénégalOuverture desUSR (Nord, Sud, Est) pour rapprocher le matériel des CI;Préventif;Manuelle;1;2;1;2;3;;2;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les stocks des magasins de pièces de rechange;Risque de dégradation de la qualité de service;Rupture de stocks;;;;;;;;"Mise à disposition d'un stock de pièces de rechange à la fin des projets Gestion de stocks à mettre en place: Définition d'un stock de sécurité en fonction du rythme de consommation Récupération du magasin ICQ Gestion des envois de matériels en réparation; Commande d'un stock de pièces de rechanges; TdB de suivi du stock de pièce de rechange; Fiabilisation de la base de donnée utilisée pour déclencher les approvisionnements en pièces détachées. 

Tenue d'un copil stock périodique avec les prescripteurs techniques
Réouverture des Unités de Stockage Régionales (USR) dans le Nord, le Sud et l'Est";Préventif;Manuelle;1;2;1;2;3;;2;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Absence de sécurisation des transferts de stocks;;;;;;;;Transferts effectués par un prestataire à Dakar et dans les régions qui a en charge la totale sécurisation des produits transférés;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Compétence;;;;;;;;Relèvement du niveau par la reprise des fiches de fonction dans SAPER, et le recrutement de gestionnaire de stock avec bac+2Mise en place du campus achat, avec formation métiers au profit des gestionnaires de stock;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Prise en compte insuffisante des besoins et des contraintes de stockage dans la conception des bâtiments (DRV-S, DRV-N, DRV-C & DRV-E);;;;;;;;"Avec le projet supply chain (effectif à Dakar) : - Définition du niveau de stock à livrer chaque semaine en agence en assurant une disponibilité à 90% des produits et limite du nombre de jours de couverture du stock à 30 jours (pour les terminaux mobiles et fixes uniquement); pour les sims et recharges (99% de taux de disponiblité et 90jours de couverture de stock)
Mise en place d'un système push au niveau des agences";Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Obsolescence des stocks;;;;;;;;- Seuil approvisionnement de 3 mois pour les cartes- Validation des modèles de terminaux à commander par le marketing sur la base du catalogue à jour- Situation du stock de terminaux obsolète présenté en CoPil stock- Suivi du taux de rotation des stocks e;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non respect des normes sécuritaires et environnementales;;;;;;;;Définition des spécifications de stockage des cartes en relation avec FTEmballage des cartes: cellophane, carton emballage à confirmer;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non respect des normes sécuritaires et environnementales;;;;;;;;- Les unités de stockage et de distribution (USR) sont mises aux normes sécuritaires et environnementales : détecteurs d'incendies, pas d'accès pour la Poste, accès par badge, dispositif de vidéosurveillance, sécurité assurée par des agents de sécurité, m;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Absence de visibilité sur les stocks techniques en transit au niveau GDL et chez les fournisseurs;;;;;;;;"Projet de transformation de la supply chain en cours 
Inventaire au niveau de GCL/GDS de tous les stocks de projet au niveau des sous-traitants 
Rapatriement des stocks des magasins des sous-traitants vers le centre de stockage
Suivi manuel des mouvements des stocks (entrées/sorties au niveau du centre)
Acquisition d'un SI supply chain en cours";Préventif;Manuelle;2;1;1;1;1;2;1;2;2
