Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Commercial;Images;Ressources Humaines;Juridique;Criticité;Maturité CI
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Indisponibilité du système de gestion des appels ;;;;;;;;"- La DSI assure l'exploitation du plateau et a signé un engagement de disponibilité du plateau (suivi du taux de disponibilité de la hotline)

- Contrat de service avec DSI et SBS (maintenance des PABX)

- Dissociation des sources d'alimentation entre les besoins administratifs et techniques pour isoler la source d'alimentation des plateaux - Groupe électrogène suffisamment dimensionné";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Insuffisance des RH ;;;;;;;;"Etude de dimensionnement des SAVR-U en cours
Délai de traitement des réclamations fixé : 1 jour pour les cas simples et 7 jours pour les cas complexes à partir de la date de réception réclamation. Identification du flux superflu et désamorçage depuis le FO (mise en œuvre des actions du FOE). Analyse du flux dans le cadre du projet six sigma";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Mauvaise analyse de la réclamation ;;;;;;;;- Existence d'une procédure de traitement des réclamations et d'une base de connaissance - Collecte des infos et traitement en fonction de la nature de la réclamation - Validation de la résolution par le N+1 (pilotes et chefs de service);Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Non respect des délais de traitement des réclamations;;;;;;;;"Dispositif de respect des engagements : délai de rappel communiqué au client depuis le front. En cas de dépassement du délai, les agents traitants ou les SAVR-U (réclamations en agence) appellent les clients pour le rassurer et lui fixer un autre délai tracé dans le CRM Selon les habilitations, les réclamations sont soldées par les CC et SAVR-U ou transmis au BO. en cas de dépassement du délai, relance du BO
- Les Services SAVF et SAVM et 

Un pilotage quotidien des indicateurs est effectué par le pilotage (suivi journalier des délais au moment du dispatching) et un reporting hebdomadaire est publié (PPS) 
Dispatching quotidien des cas. Participation au cadre de pilotage de la performance (PILPERF)
	   
Le niveau de satisfaction des clients est mesuré à travers les sondages (Hotsurvey et IRIS), le dispositif d'écoute et les appels mystères permettant de s'assurer du professionnalisme des CC du prestataire. Les auditeurs qualité de PRA effectuent des missions d'évaluation en cote à cote au niveau des SAVR-U. Ils produisent des rapports d'écoute chargés dans la grille qualité";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Indisponibilité des éléments de réponse pour les SAVR-U (contraintes techniques, absence de réponse des autres structures);;;;;;;;- Relances des structures supports - Demande à DIS qui est l'interlocuteur en cas d'investigations sur le SI. DIS répond via le CRM - Escalade en cas de non réponse - Saisie de tâches fictives pour les structures qui ne sont pas dans le CRM - Mesure des délais de traitement et diffusion d'un reporting;Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Retard de transmission ou non réception de la réclamation du client;;;;;;;;"- Déploiement d'un module d'une responsabilité spécifique dans le CRM pour la gestion des clients VIP : enregistrement des réclamations  - Workflow pour paramétrage délais et le suivi du traitement des réclamations
- Pour le fixe , le pilote lance un échantillon hebdo et vérifie le respect des consignes - Pour le mobile prépayé transfert par fichier à J+1";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Turnover élevé du personnel intérimaire;;;;;;;;"Les départs sont planifiés, le respect d'un préavis d'un mois est prévu dans le contrat avec les agents. 
Accompagnement et suivi des CC: 
- Les nouvelles recrues suivent au moins 3 semaines d'intégration au niveau de PRA pour apprendre les rudiments du télémarketing, les attitudes Orange et connaître l'environnement SONATEL. Elles suivent une formation sur les offres, respectent une période d'essai avant d'être parrainées. La nouvelle recrue est évaluée avant de recevoir un quitus pour entrer en production.

Module de formation (client  distance) dans le cadre de l'école des ventes
Suivi post formation (quiz et évaluation mensuelle)

Améioration des conditions des CC des plateaux internes

Dispositif d'écoute et appels mystères pour s'assurer du professionnalisme des CC
Module de formation (client distance) dans le cadre de l'école des ventes Suivi post formation (quiz et évaluation mensuelle)";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Mauvaise prise en charge des cas difficiles (cas d'énervements) ;;;;;;;;"- Déroulement du Module Orange in Touch
 - Transfert de l'appel au Superviseur ou au N+1 en cas de clash (sedal) pour les CC       - pour les SAVR-U, escalade auprès du RA ou des pilotes de OSF/POC

Appels/Visites mystères effectués pour simuler un client difficile. Evaluation des contacts.
 -  Déroulement du Module Orange in Touch
 - Evaluation des contacts (erreurs critiques)";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Obsolescence du système de gestion des appels ;;;;;;;;Utilisation de Vrint au BO;Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Retard de rétablissement;;;;;;;;"- Sensibilisation des Caissiers pour qu'ils vérifient la taxe de rétablissement et informent le Client - Engagement de rétablir l'apres midi au plus tard à 18h pour les réclamations du matin et pour les réclamations de l'après midi engagement pour le lendemain midi au plus tard : requête toutes les 3 heures (DRPS/DINT/GRP/ETA)
 - Demande aux Caisiers de passer par le numéro client pour voir la taxe de rétablissement";Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Erreur sur le calcul des montants à dégréver;;;;;;;;dispositif avec les SAVR-U à voir;Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Création d'une réclamation en doublon;;;;;;;;Vérification de l'historique  avant création d'une réclamation prévue dans la procédure de traitement des réclamations et sensibilisation des agents pour respect de la procédure;Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de mauvais traitement des réclamations Clients/Fournisseurs;Non traitement des litiges dans Gaia;;;;;;;;PA identifiés. Attente retour ARQ pour déploiement en rapport avec SR;Préventif;Manuelle;2;3;1;4;3;;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de fraude;Détournement de crédit client et UV OM par les CC;;;;;;;;"'- Sensibilisation des CC front sur les sanctions encourues en cas de vol de crédit client : en cas de vol avéré renvoi du CC et prélèvement sur son crédit pour le remboursement 

 
Déploiement du portail au niveau des positions FO:
- Le CC n'a plus besoin du code de rechargement mais uniquement du numéro de série de la carte.
 - Le CC ne voit pas le code de rechargement quie st envoyé directement au cleint par sms

 - Traçabilité des opérations

Personnalisation des comptes
Suppression des comptes mensuellement
Fiabilisation des comptes (fréquence?) suite état des comptes envoyé par DSI
Création d'un service CSO (Sécurité des Opérations) chargé de contrôler la sécurisation des opérations";Préventif;Manuelle;2;2;2;2;2;;2;4;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Traiter les réclamations clients;Risque de fraude;Utilisation frauduleuse des codes de recharge (Traitement des codes illisibles);;;;;;;;- Existence d'une procédure de traitement des codes illisibles - Opérations tracéesDéploiement du portail au niveau des positions FO;Préventif;Manuelle;2;2;2;2;2;;2;4;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvais accueil  des clients;Sous-dimensionnement des RH;;;;;;;;suivi du turn over par les prestataires et le plateau interne. Analyse des causes du sous-dimensionnement (turn-over, absentéisme, démotivation et hausse des flux)  et identification de solutions;Préventif;Manuelle;3;3;1;4;3;2;3;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvais accueil  des clients;Discours non-conforme au script;;;;;;;;- Dispositif d'écoute à distance avec VRINT et en côte à côte - Formation des Conseillers - Supervision des plateaux  à distance et sur site - appels mystères;Préventif;Manuelle;3;3;1;4;3;2;3;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvais accueil  des clients;Comportement inadapté des CCs  ;;;;;;;;"conseillers commerciaux des plateaux internes et externes formés dans le cadre du programme de formation initiale des conseillers Evaluation trimestrielle des CC conformément aux exigences du COPC
Refresh en cas de détection d'écart 
Refonte du module Orange in Touch (module AMEA sur la prise en charge du client)";Préventif;Manuelle;3;3;1;4;3;2;3;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvais accueil  des clients;Indisponibilité de la consigne ou de l'argumentaire;;;;;;;;Alerte vers les structures support pour la mise à disposition de la consigne/argumentaire ou pour la mise à jour de la base de connaissances. Déroulement d'une consigne intermédiaire fournie par les supports (marketing, back office, DEX, DSI);Préventif;Manuelle;3;3;1;4;3;2;3;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvais accueil  des clients;taux d'absentéisme élevé chez les prestataires externes;;;;;;;;"Recadrage du prestataire 
Suivi du taux d'absence à travers les reportings quotidiens, hebdo et mensuels
Mise en demeure des prestataires";Préventif;Manuelle;3;3;1;4;3;2;3;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Indisponibilité de la plateforme (congestion, incidents, …) et OMEGA;;;;;;;;Message d'indisponibilité plateau Déroulement du process de relève des incidents avec les supports Consignes de traitement en cas d'indisponibilité de certaines applis. Plan de continuité de service déclenché à la fin de la durée prévisionnelle;Préventif;Manuelle;2;3;1;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Inaccessibilité du site;;;;;;;;Déclenchement du plan de continuité de service;Préventif;Manuelle;2;3;1;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Non respect des process par les CC et le back office;;;;;;;;"'Dispositif d'écoute à distance et en côte à côte
Suivi indicateur taux de réitération, taux de remontée, Csat (sondage sur la satisfaction Client), et analyse des causes";Préventif;Manuelle;2;3;1;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Difficultés d'accès chez le prestataire (pour les relèves d'incident);;;;;;;;Prise en charge par DRJ, traitement en contentieux;Préventif;Manuelle;2;3;1;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Absence de plan de continuité chez le prestataire;Point à rajouter dans le contrat avec les prestataires: Exiger des rapports sur les assurances de continuité de service;AISSA NDIAYE TOURÉ;;30/10/2017;30/11/2017;;Soldé;chaque prestataire dispose d’un PCA (Plan de Continuité Annuelle);Préventif;Manuelle;2;3;1;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Absence de plan de continuité chez le prestataire;;;;;;;;"Mise en place d'un plan de continuité par les prestataires
Recrutement de responsable de la sécurité des opérations

A vérifier: Obligation de Sonatel de piloter les tests du plan de continuité chez le prestataire";Préventif;Manuelle;2;3;1;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Défaillance du prestataire externe PCCI :dégradation et/ou arrêt du plateau 1413- prépayés, distri + HNO ;Plan de continuité d'activité à mettre à jour en intégrant l'aspect défaillance des prestataires;TIDIANE CISSE;;16/10/2018;15/11/2018;réorientation du flux en interne ingérable dans les conditions de gestion des RH des plteaux internes actuelles;Non échu;Recherche d'un 3ème prestataire en cours ;Préventif;Manuelle;4;3;2;4;4;2;3;12;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Défaillance du prestataire externe WAY2CALL : dégradation et/ou arrêt des plateaux 1413-prépayés, distri + HNO et 1212;"Inclure dans les contrats avec les prestataires les aspects continuité d'activité afin de contractualiser une augmentation de leurs flux 
Faire un avenant pour way2call";AISSA NDIAYE TOURÉ;;16/10/2018;15/11/2018;;Non échu;Recherche d'un 3ème prestataire en cours ;Préventif;Manuelle;4;3;2;4;4;2;3;12;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Défaillance des prestataires externes ;"Inclure dans les contrats avec les prestataires les acpects continuité d'activité afin de contractualiser une augmentation de leurs flux 
";AISSA NDIAYE TOURÉ;;16/10/2018;15/11/2018;;Non échu;Recherche d'un 3ème prestataire en cours ;Préventif;Manuelle;4;3;2;4;4;2;3;12;1
