Macro Processus;Processus;Sous Processus;Entité;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;adresse mail du porteur;Date de début du plan d'action;Date de fin du plan d'action ;Avancement du plan d'action;Statut; DESCRIPTION DU CONTRÔLE;Type de contrôle;Méthode de contrôle;Probabilité ;Gravité;Financier;RH;Image;Juridique;Client;criticité du risque;Maturité CI
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec Parties prenantes ( BSDA, OAPI, ARPT pour les promos etc.);Risque de violation des droits de propriété intellectuelle;Exploitation d'oeuvres d'autrui sans paiement de doits d'auteurs ;;;;;;;;Insertion d'une clause de limitation de responsabilités dans le contrat avec les Agences de communication qui devront prendre en charges le paiement des droits d'auteurs sous peine de déduction des frais de procès de leurs honoraires;Préventif;Manuelle;2;3;3;1;3;3;3;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de conseils inadaptés;Manque de connaissance du domaine objet de la consultation;;;;;;;;" - Veille juridique
  - Benchmarking
  - Formations techniques
Consultation des avocats et du groupe 
";Préventif;Manuelle;1;2;2;2;2;2;2;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de lancement tardif d'offres innovantes ou promotionnelles par rapport à la concurrence, aux attentes clients ou à nos promesses;Retard de traitement des demandes d'approbation d'offres par  l'ARPT;;;;;;;;" -Transmission du courrier d'approbation à l'ARPT  un mois avant lancement des offres. 
 - Suivi régulier et relance pour les demandes déposées 
 ";Préventif;Manuelle;2;2;2;;1;;2;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec Parties prenantes ( BSDA, OAPI, ARPT pour les promos etc.);Risque de violation des droits de propriété intellectuelle;Saisine tardive de DRJ pour une demande d'utilisation d'une marque;"Mettre en place une procédure de saisine du Service Juridique avec précision des délais de saisine pour une demande d'utilisation d'une marque.
Le dépôt se fait au niveau de SPI (Service de la Propriété intellectuelle (bureau de liaison de l'OAPI)";YOUSSOUPHA DIANKO;youssoupha.dianko@orange-sonatel.com;25/05/2017;30/04/2019;;Non Réalisé;;;;1;3;3;1;3;3;3;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Assurer les études et consultations réglementaires;Risque de perte de licence;Non respect des dispositions réglementaires ;;;;;;;;"mise en place d'un tableau de suivi des dispositions juridiques et règlémentaires  
Contrôle du niveau de conformité des directions impactées par chaque obligation juridique ";Préventif;Manuelle;1;4;4;4;4;4;4;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le recouvrement contentieux ;Risque de non recouvrement des créances;Non respect des moratoires par le client ;;;;;;;;"Passage au règlement par  contentieux avec un huissier 
Saisie du tribunal pour recouvrer les créances ";Préventif;Manuelle ;2;2;3;;;1;1;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer le contentieux;Risque de perte de procès;Non respect de la règlementation (droit à l'image);;;;;;;;mise en lace d'une procedure de conservation des images et sur les droits à l'image ;Préventif;Manuelle;1;3;2;;3;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le contentieux;Risque de non fiabilité de l'information financière ;Non de Transmission de l'état des contentieux à la DFC ;;;;;;;; Analyse des contentieux et  Provision faite suivant les risques de condamnation  et etat de suivi des contieux transmis à la DFC ;Préventif;Manuelle;1;3;2;;3;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Mener les études sur les coûts réglementaires et négocier les tarifs de gros ( catalogue d'interconnexion);Risque de corruption;négociation de tarifs qui avantagent les partenaires moyennant une contrepartie;;;;;;;;"Pour les tarifs de terminaison c'est l'ARTP qui est l'interlocuteur des opérateurs
Toute négociation necessite un mandat du DG ou du directeur en charge de l'activité
Pour les tarifs qui ne sont pas dans le périmètre du catalogue d'interco, les propositions de tarifs sont soumises en prévalidation DFC, DSO , DRJ et DRSI avant transmission au DG pour approbation";Préventif;Manuelle;1;3;3;3;3;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de fraude;Elaboration frauduleuses des termes des contrats;;;;;;;;"Procedure d'élaboration des contrats
Validation des contrats par  DRJ  avant transmission  au DG.
Existence d'une fiche de transmission qui conditionne la signature du DG

";Préventif;Manuelle;1;3;3;3;3;3;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec Parties prenantes ( BGDA, OAPI, ARPT pour les promos etc.);Risque de partenariat inefficace;Traitement tardif des dossiers par les partenaires;;;;;;;;DRJ  entretient des rélations cordiales avec les partenaires .;Préventif;Manuelle;1;3;2;;3;3;2;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de non maîtrise des contrats;Absence de validation des contrats par la DRJ;;;;;;;;"
Existence d'une  Fiche de  transmission avec les niveaux de validations des acteurs (du redacteur au DG)  ";Préventif;Manuelle;1;2;1;;2;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de non maîtrise des contrats;Non respect des recommandations  de la DRJ  par les autres Structures  ;;;;;;;;Suivi de la prise en charge des recommandations avant signature des contrats ;Préventif;Manuelle;1;2;1;;2;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de non respect des dispositions juridiques et réglementaires ;Non respect des recommandations  de la DRJ  par les autres Structures ;;;;;;;;"-Formalisation des consultations juridiques et reglementaires par écrit 
Dans ses réponses aux consultations des autres Structures, la DRJ  demande systématiquement un retour pour s'assurer de l'application de ses recommandations
 ";Préventif;Manuelle ;1;2;1;;2;3;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Assurer la validation juridique des offres et projets;Risque de non respect des dispositions juridiques et réglementaires ;Non prise en compte des aspects juridiques et règlementaires dans le lancement des offres;;;;;;;;"La DRJ  est membre du TTM 
Validation et transmission des livrables juridiques  au chef de projet ";Préventif;Manuelle ;1;2;1;;2;3;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de non maîtrise des contrats;Défaut de suivi et de classement des contrats au niveau de la DRJ;;;;;;;;"Classement copie de tous les contrats au niveau de la DRJ 
Fichier de suivi des Contrats au niveau de la DRJ ";Préventif;Manuelle;1;2;1;;2;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de non maîtrise des contrats;Défaut de suivi et de classement des contrats au niveau de la DRJ;;;;;;;;Existence de numeros de  référencement des contrats au niveau du fichier de suivi de contrats .;Préventif;Manuelle;1;2;1;;2;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de non maîtrise des contrats;Défaut de suivi et de classement des contrats au niveau de la DRJ;;;;;;;;Suivi mensuel de l'exhaustivité des contrats classés au niveau  de la  DRJ  en rapprochant le fichier Excel qui enregistre tous les contrats avec le classement physique;Préventif;Manuelle;1;2;1;;2;3;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les dossiers contentieux;Risque de divulgation d’information confidentielle ;Dossiers confidentiels accessibles à d'autres;Mettre en place des armoires securisée pour la conservation des contrats déjà signés .;YOUSSOUPHA DIANKO;youssoupha.dianko@orange-sonatel.com;25/05/2017;30/04/2019;;Non Réalisé;"
Existence d'un coffre  pour la conservation des dossiers confidentiels  
Limitation des accès aux  dossiers confidentiels ";Préventif;Manuelle;1;2;1;2;2;2;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec le régulateur;Risque de divulgation d’information confidentielle ;Requête d'information de l'ARTP  au niveau des structures supportc ( DRSI, DCGP, DMC, etc..);;;;;;;;Les échanges d'informations avec l'ARPT sont soumis à l'appréciation de DG qui signe tous les courriers adressés à cette dernière. DRJ est le seul acteur interlocuteur des autorités de regulation ;Préventif;Manuelle;1;2;1;2;2;2;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les dossiers contentieux;Risque de divulgation d’information confidentielle ;Dossiers confidentiels accessibles aux stagiaires et prestataires ;Mettre à disposition de la DRJ un outil de gestion des contentieux .;YOUSSOUPHA DIANKO;youssoupha.dianko@orange-sonatel.com;25/05/2017;30/04/2019;;Non Réalisé;" - Les Stagiaires travaillent  sur les activités courantes et n'ont  pas accès aux informations confidentielles
 - Conservation des dossiers confidentiels dans un Coffre  qui ferme à clé 
Sensibilisation des Stagiaires  sur la confidentialité des informations ";Préventif;Manuelle;2;2;1;2;2;2;;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de conseils inadaptés;Besoins mal exprimés;;;;;;;;"Formalisation des demandes de consultation : mail du demandeur avec copie à son N+1 
Au besoin le Service Juridique reformule et demande des précisions (questions supplémentaires)
";Préventif;Manuelle;1;2;2;2;2;2;2;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de conseils inadaptés;Non exhaustivité des éléments d'informations dans la saisine ;;;;;;;;Demande d'informations complémentaires en cas de non exhaustivité des informations reçues lors de la saisine : explications, éléments de preuves…;Préventif;Manuelle;1;2;2;2;2;2;2;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Assurer la veille juridique et réglementaire;Risque de veille inefficace;mauvais paramétrage des outils de veille;;;;;;;;"diffusion de la veille de sonatel hebdo dans Com.interne  
Mise en place des mots clé d'alerte ayant trait  à la reglementation ,  au niveau de Google .
 .";Préventif;Manuelle ;1;2;1;1;2;3;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Assurer la veille juridique et réglementaire;Risque de veille inefficace;Analyse impertinente des données de veille;;;;;;;;Analyse pertinente des données de veille avant partage .;Préventif;Manuelle ;1;2;1;1;2;3;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Assurer la veille juridique et réglementaire;Risque de veille inefficace;Inexhaustivité des données de veille;"Faire un focus sur les principaux point  de la veille et animer  au CODRJ (PA)  
";Bernadette TINKIANO;BernadetteOGCDAF.TINKIANO@orange-sonatel.com;25/05/2017;30/04/2019;;Non Réalisé;"En dehors des outils de veille  electronique , il  existe un reseau de relation  qui remonte à DRJ  les changements liés aux textes de lois et de la règlémentation.(JO ,Les avocats ,les departements ministeriels    
";Préventif;Manuelle ;2;2;1;1;2;3;1;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le recouvrement contentieux ;Risque de non recouvrement des créances;contestation par les clients des montants réclamés par OG;;;;;;;;"Fiabilisation des créances avant toute action de recouvrement . 
Mise à disposition des éléments de facturation 
";Préventif;Manuelle ;2;2;3;;;1;1;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le recouvrement contentieux ;Risque de non recouvrement des créances;Insolvabilité des clients;;;;;;;;Proposition de moratoires;Préventif;Manuelle ;1;2;3;;;1;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le recouvrement contentieux ;Risque de non recouvrement des créances;Erreurs de facturations;;;;;;;;"Fiabilisation des créances avant toute action de recouvrement .
";Préventif;Manuelle ;1;2;3;;;1;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le recouvrement contentieux ;Risque de non recouvrement des créances;Erreurs de facturations;;;;;;;;"Remontée des contestations de consommation à DRC pour vérification et correction
Accord de moratoires au client";Préventif;Manuelle ;1;2;3;;;1;1;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer les outils de performance;Risque de non fiabilité de l'information pour le pilotage;Mauvaise agrégation des données reçues (methode de calcul des indicateurs  non fiables);;;;;;;;"
Existence d'un dictionnaire des indicateurs 
Diffusion du tableau de bord après  validation par DRJ 
Revue  sur la  fiabilité des indicateurs par  DAMRQ/DMI ";Préventif;Manuelle;2;1;1;;1;1;1;;2
