Macro Processus;Processus;Sous-Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Absence de dialogue avec les parties prenantes;;;;;;;;Tenue de rencontres physiques régulières avec les parties prenantes (startups, incubateurs écoles et universités etc);Préventif;Manuel;1;2;1;;3;;;2;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Absence de dialogue avec les parties prenantes;;;;;;;;""" - Réponse aux sollicitations externes telles que celle de la Direction de l'Environnement sur la qualité avec le projet de mise en place de capteur d'air pour la transmission des données via GPRS : 
Partenariat avec la Direction de l'Environnement : Son";Préventif;Manuel;2;2;1;;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Programmes d'activités inadaptés;;;;;;;;""" - Périmètre d'action clairement défini par le comité RSE pour éviter la confusion avec les activités de la FS
 - Procédure de suivi de gestion de projets""
 - Tenue d'un COPIL RSE mensuel pour coordonner les activités RSE";Préventif;Manuel;2;2;1;;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Programmes d'activités inadaptés;;;;;;;;""" - Périmètre d'action clairement défini par le comité RSE pour éviter la confusion avec les activités de la FS
 - Procédure de suivi de gestion de projets""
 - Tenue d'un COPIL RSE mensuel pour coordonner les activités RSE
"" - Définition de programmes internes (ex: avec DO utilisation de NRJ solaire à des fins communautaires) comme externes (ex: projet avec ministère de l'environnement) 
 - Validation du programme avec les directions concernées et approbation par le comité ";Préventif;Manuel;2;2;1;;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Programmes d'activités inadaptés;;;;;;;;""" - CIR/RSE établit pour chaque programme une fiche de validation pour présentation au COPIL RSE 
 - Existe un programme annuel prévisionnel
 - Pour chaque projet, une fiche est établie pour une visibilité et un suivi de l'état d'avancement est effectué";Préventif;Manuel;2;2;1;;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Programmes d'activités inadaptés;;;;;;;;Identification des canaux de communication : rapport RSE, présentation d'un bilan, publication de la newsletter, rencontre avec les parties prenantes  ;Préventif;Manuel;2;2;1;;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de manque de performance économique des offres/projets;Partenariats avec l'écosystème insuffisants;;;;;;;;Recherche des strat up et partenaires suivants les 4 axes à la RSE et les objectifs DG;Préventif;Manuel;1;1;1;1;2;;;1;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque d'une communication non maîtrisée ou inadaptée;communication non conforme à la stratégie;;;;;;;;Validation systématique des campagnes de comm par DCIRE, DGA et DG;Préventif;Manuel;1;2;1;;3;;2;2;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de divulgation d’informations confidentielles ;Diffusion non contrôlée d'informations sensibles (travaux de l'Etat);;;;;;;;Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ;Préventif;Manuel;1;1;1;;2;;1;1;
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;conflits d'intérêts dans le choix dess projets;;;;;;;;"Choix des projets en Codcir et Copil et validation DG ou DGA des dossiers
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuel;1;4;4;4;4;4;4;4;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;favoritisme dans le choix des projets ;;;;;;;;"Choix des projets en Codcir et Copil et validation DG ou DGA des dossiers
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuel;1;4;4;4;4;4;4;4;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;favoritisme dans le choix des prestataires;;;;;;;;"Cahier des charges rédigéeet envoyé aux acteurs.
Validation DG dans le choix du prestataire 
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuel;1;4;4;4;4;4;4;4;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de réputation (image négative);Suspicion de vol d'idées /projets lors de concours et challenges;;;;;;;;"Signature d'un accord de confidentialité au membres du jury de selection
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuel;2;2;1;2;3;;;4;
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de manque de performance économique des offres/projets;Déficit de compétence pour l'évaluation des projet;;;;;;;;DSD apporte son expertise dans l'évauation des projets;Préventif;Manuel;1;1;1;1;2;;;1;
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;conflits d'intérêt des membres du jury lors de concours et challenges;Faire signer une déclaration de conflit d'intérêts aux mebre des juries de selection pour les concours;Rokhaya solange;;;10/03/2020;;En cours; ;Préventif;Manuel;3;4;4;4;4;4;4;12;2
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de fraude;Utilisation des dons à d'autres fins par les bénéficiaires. (Pas de feed back sur l'utilisation des subventions);;;;;;;;"regles de financement des projets incluants : 
l'interdiction de financements individuels
les pièces justificatives 
le rythme de financement 
les justificatifs  comme le budget, les autres partenaires éventuels, etc
les modes de contrôle ";Préventif;Manuel;1;2;1;2;4;;;2;
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;1.Invitations, sponsoring ou lobbying auprès de personnalités publiques ou politiques;;;;;;;;"Relation extérieures gérées par REX
Demandes imputées par DG
Contrats signés par DG sous validation de DRJ";Préventif;Manuel;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;2.Décision de coaching/accompagnement nappropriée ou en décalage avec les objectifs ou les intérêts de l’entreprise;;;;;;;;"Toutes les demandes sont reportées sur une fiche d'opportunités validée par DG
Introduction de la due dil en mars 2020";Préventif;Manuel;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;3.Dimension disproportionnée ou occulte de l’avantage reçu / offert au regard du bénéfice attendu;;;;;;;;"Mise en place de comité de pilotage mensuels
Bilan des contrats par les chefs de projet
Validation des reconductions des contrats sur la base du bilan et des montants des prestations proposées par les partenaires";Préventif;Manuel;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;4.Cadeau, pot de vin reçu / offert par un collaborateur pour obtenir un avantage (sponsorship, critique favorable, etc.);;;;;;;;"Tous les contrats sont validés par DAL car ils sont issus d'appels d'offres
Choix de certains partenariats validés par DG (ex: Eiffage)
Suivi de l'évolution des contrats par les chefs de projet (s'assurer qu'ils ont tous faits leur déclaration deCI)";Préventif;Manuel;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;•Comportement non éthique;;;;;;;;Sensibilisation compliance de toute l'équipe RSEP;Préventif;Manuel;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;Conflit d'intérêt;;;;;;;;à voir avec ARQ/PACO;;;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;•Sollicitations par des officiels ou autres fournisseurs ou partenaires;;;;;;;;"Sensibilisation compliance de toute l'équipe RSEP
Gestion des relations extérieures par REX";Préventif;Manuel;1;4;4;4;4;4;4;;3
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Développer les relations publiques et les relations avec l’écosystème de l’économie numérique;Risque de corruption;•Image de marque à conforter : start-up se sentant exploitées, défavorisées dans le choix d'accompagnement;;;;;;;;"mix dans les programmes de recutement (ex:poesam)
Programmes d'accompagnement et de financement pour diversifier les types de strat up sélectionnés";Préventif;Manuel;2;4;4;4;4;4;4;;2
Développer la communication institutionnelle et les relations extérieures;Développer les relations extérieures;Développer les relations extérieures;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);projets non finalisés;;;;;;;;les contrats avec les prestataires sont pilotés par la DAL;Préventif;Manuel;2;2;1;2;3;;;;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de manque de performance économique des offres/projets;capacité insuffisante du marché à absorber les apprenants formés;;;;;;;;"La médiation emploi est en charge de trouver des stages pour les apprenants et des partenariats pour intégrer les cohortes

La start up Lab et l'Orange Fab accompagnent les start up dans l'incubation et l'accélération";préventif;manuelle;1;2;1;;3;;1;3;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de manque de performance économique des offres/projets;insuffisance des subventions/financements;;;;;;;;"Subvention de Orange de 2millions d'euros. 
Développement de partenariats avec la coopération luxembourgeoise, coopération allemande, etc";préventif;manuelle;1;2;1;;3;;1;3;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de manque de performance économique des offres/projets;prestations gratuites aux professionnels dans le Fab Lab;Définir un mode de contrats avec les professionnels qui vont solliciter la FabLAb;Daouda Diouf;;;31/03/2020;;non échu;;;;4;2;1;;3;;1;1;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de manque de performance économique des offres/projets;Absence de contrat/garantie pour prévoir la détérioration des équipements par les responsables;Définir un mode de contrats avec les professionnels qui vont solliciter la FabLAb;Daouda Diouf;;;31/03/2020;;non échu;;;;4;2;1;;3;;1;1;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de manque de performance économique des offres/projets;Absence de retombées économiques;;;;;;;;"le ROI est indexé les aspects RSE :
 -  l'intégration des apprenants dans le marché de l'emploi 
 - l'impact du coding dans le merché
 - le simpacts image et notoriété du programme";préventif;manuelle;1;2;1;;3;;1;3;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de non mise en œuvre du plan stratégique;Exigences des bailleurs de fonds en contradiction ou prenant le dessus sur la stratégie de Orange;Réfléchir à la mise en place de verrous contractuels qui permettront de sécuriser les orientations stratégiques de Orange ;Daouda Diouf;;;31/03/2020;;non échu;;;;1;2;1;;3;;2;3;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de formation inadaptée;Contenus des formations non mises à jour / non adaptées;;;;;;;;Mise à jour régulière des compétences en partenariat avec Simplon;préventif;manuelle;1;2;1;;3;;3;3;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de formation inadaptée;Formateurs non adaptés /non mis à niveau;;;;;;;;Mise à jour régulière des compétences en partenariat avec Simplon;préventif;manuelle;1;2;1;;3;;3;3;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de formation inadaptée;Absence de contrôle de la présence des apprenants;Mettre en place un système de suivi de présence des apprenants;Daouda Diouf;;;28/02/2020;;non échu;"Utilisation d'une appli développée par les apprenants pour la gestion de leur présence
Registre à l'entrée renseignant les numéros des CNI des apprenants présents";préventif;manuelle;2;2;1;;3;;3;2;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de dépendance vis-à-vis d'un fournisseur;un seul partenaire (Simplon) sur la formation;Voir la possibilité de diversifier les intervenants sur la formation;Daouda Diouf;;;28/02/2020;;non échu;"Présence d'un lead formateur et d'autres apprenants selon les thématiques développées

contrat groupe avec Simplon";préventif;manuelle;4;2;1;;3;;1;1;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de corruption;Sourcing des apprenants non transparent;Echanger avec ARQ/PACO pour identifier la démarche compliance à adopter;Daouda Diouf;;;28/02/2020;;non échu;"Participation des membres de l'écosystème au sourcing
Existence d'une procédure de recrutement";préventif;manuelle;2;4;4;4;4;4;4;2;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de corruption;absence d'exigences compliance vis-à-vis des partenaires;Echanger avec ARQ/PACO pour identifier la démarche compliance à adopter;Daouda Diouf;;;29/02/2020;;non échu;;;;3;4;4;4;4;4;4;1;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque d'atteinte aux systèmes d'information;absence de supervision des actes des apprenants : possibilités de hacking sur d'autres réseaux;Mettre en place avec DSI, une dispositif de sécurité des actes des apprenants;Daouda Diouf;;;29/02/2020;;non échu;Les apprenants sont sur un réseau séparé, disctinct du réseau corporate avec une supervison de la bande passante;préventif;automatique;4;2;1;1;3;2;3;1;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de sabotage ou de vandalisme;Absence de sécurité d'accès physique;Mettre en place ave DG/SECU un dispositif de sécurité d'accès;Daouda Diouf;;;28/02/2020;;non échu;Existence de vidéosurveillance;préventif;automatique;2;2;1;;3;;1;2;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de sabotage ou de vandalisme;Absence de sécurisation des équipements (laptops, etc);Mettre en place ave DG/SECU un dispositif de sécurité d'accès pour sécuriser les ésuipements sur place - Associer DSI;Daouda Diouf;;;28/02/2020;;non échu;;;;3;2;1;;3;;1;1;
DCIRE_Développer la Communication Institutionnelle et les Relations extérieures;ODC_Gérer l’Academy Numérique de Sonatel;ODC_Gérer l’Academy Numérique de Sonatel;SNT DCIRE \ ODC;Dispenser des formations en coding et accompagner les start up;Risque de non conformité du système de management intégré (QSE, COPC);Absence de mise à niveau QSE : procédures, FIP, etc;Piloter avec le correspondant qualité de DMI la mise à niveau SMI;Daouda Diouf;;;28/02/2020;;non échu;;;;2;1;1;;1;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de divulgation d’informations confidentielles;Diffusion non contrôlée d'informations sensibles (stratégie, client, achat, réseau, offre, fournisseurs, personnel);;;;;;;;"les membres de DCIRE qui ont accès aux états financiers sont soumis aux obligations des initiés (signature d'un engagement) durant la période.

Mails de rappel avant et durant les périodes sensibles
clause de confidentialité dans le contrats signés avec les prestataires externes, 
engagement écrit de confidentialité par les salariés et rappel de la sensibilité des informations";Préventif;Manuelle;1;2;2;;3;2;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de fraude;Détournement des goodies ;;;;;;;;Détermination dans la fiche d'action des types et quantités des dons validée par INST et/ou CDMS puis CORP;Préventif;Manuelle;1;1;1;;1;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de fraude;Non sécurisation des goodies (absence de magasin) ;;;;;;;;" Aménagement de magasin pour la sécurisation des goodies de CORP
 Gestion de l'accès aux goodies  par le service DCIRE/CORP/INST
 Inventaire semestriel piloté par CORP";Préventif;Manuelle;2;1;1;;1;;;2;
